,number,model_name,slump,allStarts
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,-623,3656
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-5993,7461
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-2783,3454
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-1009,4178
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,-1664,4955
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,-4160,3951
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-5896,5048
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,-4770,5400
8,2009,ＳスカイガールズＫＫ,-2757,5195
9,2010,地獄少女　宵伽ＦＳＢ,240,1848
10,2011,ハイスクールオブザデッド／ＣＣ,1198,2489
11,2012,織田信奈の野望Ｓ,4736,4938
12,2013,ブラックラグーンリミットブレイクＴ,-794,1257
13,2014,パチスロ閃乱カグラ／ＪＸ,-766,5496
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-932,2886
15,2016,パチスロ黒神／Ｋ２,500,3020
16,2017,結城友奈は勇者である／ＤＥ,897,5168
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,1123,3780
18,2019,ＳミルキィホームズＮＤ,624,3926
19,2020,ＳミルキィホームズＮＤ,-1087,4208
20,2021,Ｓ麻雀格闘倶楽部３ＫＲ,-667,2421
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,504,3898
22,2023,ＳＬＯＴギルティクラウンＵＣ,-3890,3273
23,2024,ＳＬＯＴギルティクラウンＵＣ,430,8522
24,2025,ＳＬＯＴギルティクラウンＵＣ,-2000,5971
25,2026,ＳＬＯＴギルティクラウンＵＣ,3224,9202
26,2027,ＳＬＯＴギルティクラウンＵＣ,-4826,4874
27,2028,ＳＬＯＴギルティクラウンＵＣ,-2924,7636
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,891,9792
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-241,4616
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,698,1408
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,165,10326
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,2406,6051
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1241,4152
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1417,5234
35,2036,Ｓリング　恐襲ノ連鎖　ＪＡ,-2668,5995
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,-407,1501
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,-2226,5441
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,-1916,3593
39,2040,戦国乙女２深淵に輝く気高き将星／Ｄ２,-1020,3589
40,2041,Ｓパチスロラブ嬢２Ｌ２,595,3002
41,2042,Ｓパチスロラブ嬢２Ｌ２,1770,8524
42,2043,マジカルハロウィン５／ＫＡ,-1979,3268
43,2044,マジカルハロウィン５／ＫＡ,820,6883
44,2045,マジカルハロウィン５／ＫＡ,1911,8402
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,-516,653
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,1209,3635
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-402,426
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,-731,953
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,-843,1769
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,-735,2951
51,2052,パチスロガールフレンド（仮）／Ｇ４,1201,5490
52,2053,パチスロガールフレンド（仮）／Ｇ４,-742,3986
53,2054,パチスロガールフレンド（仮）／Ｇ４,2293,2885
54,2055,パチスロガールフレンド（仮）／Ｇ４,3060,5740
55,2056,パチスロガールフレンド（仮）／Ｇ４,-363,1999
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,-2650,5088
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,4283,2039
58,2059,ＳＬＯＴバジリスクⅢＢＥ,-2543,8588
59,2060,ＳＬＯＴアカギ／ＤＡ,-86,2543
60,2061,ＳＬＯＴアカギ／ＤＡ,-636,2284
61,2062,モンスターハンター狂竜戦線／ＺＳ,2334,4631
62,2063,パチスロウルトラセブンＫＣ,1256,3852
63,2064,バイオハザードリベレーションズ／ＺＷ,623,7855
64,2065,獣王　王者の覚醒／ＺＡ,4669,3774
65,2066,Ｓ猛獣王　王者の咆哮ＺＺ,-97,3826
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,-848,707
67,2068,ＳＡＴ天元突破グレンラガンＹ,-1262,2762
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-1467,2539
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,-1903,2090
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,-239,710
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,-2076,5941
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,1587,1665
73,2074,Ｇ１優駿倶楽部／ＫＤ,-147,4846
74,2075,Ｇ１優駿倶楽部／ＫＤ,-555,930
75,2076,Ｇ１優駿倶楽部／ＫＤ,-786,2261
76,2077,Ｇ１優駿倶楽部／ＫＤ,-567,2514
77,2078,Ｇ１優駿倶楽部／ＫＤ,-1647,3217
78,2079,ミリオンゴッド－神々の凱旋－ＢＤ,-4304,4944
79,2080,ミリオンゴッド－神々の凱旋－ＢＤ,-6853,6155
80,2081,ミリオンゴッド－神々の凱旋－ＢＤ,1339,3594
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,2041,5198
82,2083,パチスロゴッドイーターＣＣ,-4231,3968
83,2084,パチスロゴッドイーターＣＣ,7535,3414
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,-1543,5676
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,-2785,6091
86,2087,麻雀物語３役満乱舞の究極大戦Ｇ１,-2898,5640
87,2088,シンデレラ×ブレイド２ＮＤ,4061,3519
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,-2568,5678
89,2090,やじきた道中記乙ＭＤ,-1402,2867
90,2091,やじきた道中記乙ＭＤ,-1620,1127
91,2092,やじきた道中記乙ＭＤ,4972,4686
92,2093,忍魂暁ノ章／Ａ２,-2320,3602
93,2094,モンキーターン２ＴＴ,-3032,4309
94,2095,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-214,2633
95,2096,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1105,5415
96,2097,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-954,1586
97,2098,パチスロ　修羅の刻Ａ,4910,5540
98,2099,スーパービンゴネオＭ１,-5041,4188
99,2100,スーパービンゴネオＭ１,-436,3207
100,2101,スーパービンゴネオＭ１,-3633,2573
101,2102,スーパービンゴネオＭ１,2615,1786
102,2103,スーパービンゴネオＭ１,1780,4764
103,2104,スーパービンゴネオＭ１,885,724
104,2105,スーパービンゴネオＭ１,2067,802
105,2106,アラジンＡⅡＺＳ,-2260,4739
106,2107,パチスロ鉄拳３ＥＥ,457,3757
107,2108,パチスロ鉄拳３ＥＥ,479,2273
108,2109,戦国コレクション２ＫＳ,-1957,3039
109,2110,戦国コレクション２ＫＳ,3737,5001
110,2111,パチスロ黄門ちゃま喝Ｄ１,-45,4016
111,2112,パチスロ黄門ちゃま喝Ｄ１,-4101,5111
112,2113,パチスロ黄門ちゃま喝Ｄ１,604,3037
113,2114,パチスロ黄門ちゃま喝Ｄ１,6344,3849
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,1018,5359
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,1174,5381
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,451,3532
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1026,3353
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1119,2881
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,-3682,5122
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-8,27
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,2037,8291
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-554,763
123,2124,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,876,3187
124,2125,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-242,977
125,2126,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-885,1051
126,2127,政宗２／Ａ５,-1218,1696
127,2128,政宗２／Ａ５,-144,3441
128,2129,政宗２／Ａ５,461,7841
129,2130,政宗２／Ａ５,-906,2540
