,number,model_name,slump,allStarts
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,-2555,2626
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-3778,2296
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-291,880
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,2890,1753
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,383,1710
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,2478,1221
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-924,584
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,12725,1065
8,2009,ＳスカイガールズＫＫ,649,3583
9,2010,地獄少女　宵伽ＦＳＢ,-653,1375
10,2011,ハイスクールオブザデッド／ＣＣ,199,2547
11,2012,織田信奈の野望Ｓ,-1878,1930
12,2013,ブラックラグーンリミットブレイクＴ,-1137,2262
13,2014,パチスロ閃乱カグラ／ＪＸ,1498,4477
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-937,2032
15,2016,パチスロ黒神／Ｋ２,-566,624
16,2017,結城友奈は勇者である／ＤＥ,-418,712
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,-869,2955
18,2019,ＳミルキィホームズＮＤ,-591,580
19,2020,ＳミルキィホームズＮＤ,1531,3300
20,2021,Ｓ麻雀格闘倶楽部３ＫＲ,-551,1905
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-907,692
22,2023,ＳＬＯＴギルティクラウンＵＣ,8107,9540
23,2024,ＳＬＯＴギルティクラウンＵＣ,58,9123
24,2025,ＳＬＯＴギルティクラウンＵＣ,2230,8562
25,2026,ＳＬＯＴギルティクラウンＵＣ,-2312,8896
26,2027,ＳＬＯＴギルティクラウンＵＣ,4327,9774
27,2028,ＳＬＯＴギルティクラウンＵＣ,2923,10264
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1031,3537
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-725,1931
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1732,2484
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-504,475
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-930,1327
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-278,3855
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-864,683
35,2036,Ｓリング　恐襲ノ連鎖　ＪＡ,726,2839
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,879,3200
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,385,619
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,1969,2701
39,2040,戦国乙女２深淵に輝く気高き将星／Ｄ２,928,1392
40,2041,Ｓパチスロラブ嬢２Ｌ２,1761,3358
41,2042,Ｓパチスロラブ嬢２Ｌ２,-250,1018
42,2043,マジカルハロウィン５／ＫＡ,5122,8784
43,2044,マジカルハロウィン５／ＫＡ,1733,4321
44,2045,マジカルハロウィン５／ＫＡ,418,4024
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,-339,313
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,-168,96
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-152,113
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,-531,1064
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,-620,3659
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,-354,291
51,2052,パチスロガールフレンド（仮）／Ｇ４,3408,1794
52,2053,パチスロガールフレンド（仮）／Ｇ４,-319,1575
53,2054,パチスロガールフレンド（仮）／Ｇ４,-449,1428
54,2055,パチスロガールフレンド（仮）／Ｇ４,-717,1545
55,2056,パチスロガールフレンド（仮）／Ｇ４,-1054,2601
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,-879,3124
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,-1981,2568
58,2059,ＳＬＯＴバジリスクⅢＢＥ,-694,1338
