,number,model_name,slump,allStarts
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,3477,2359
0,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-1663,1632
0,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-1414,2545
0,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-2703,1947
0,2005,ミリオンゴッド－神々の凱旋－ＢＤ,-1339,762
0,2006,ミリオンゴッド－神々の凱旋－ＢＤ,-1433,2859
0,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-556,723
0,2008,ミリオンゴッド－神々の凱旋－ＢＤ,2767,1171
0,2009,ＳスカイガールズＫＫ,-2501,4544
0,2010,地獄少女　宵伽ＦＳＢ,2837,2551
0,2011,ハイスクールオブザデッド／ＣＣ,-59,43
0,2012,織田信奈の野望Ｓ,1675,4319
0,2013,ブラックラグーンリミットブレイクＴ,2351,3074
0,2014,パチスロ閃乱カグラ／ＪＸ,-1282,2966
0,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,186,3447
0,2016,パチスロ黒神／Ｋ２,2404,918
0,2017,結城友奈は勇者である／ＤＥ,-259,1450
0,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,-1031,1569
0,2019,ＳミルキィホームズＮＤ,-918,993
0,2020,ＳミルキィホームズＮＤ,1614,2242
0,2021,Ｓ麻雀格闘倶楽部３ＫＲ,-372,909
0,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-458,858
0,2023,ＳＬＯＴギルティクラウンＵＣ,-680,7966
0,2024,ＳＬＯＴギルティクラウンＵＣ,2232,3676
0,2025,ＳＬＯＴギルティクラウンＵＣ,-1383,7360
0,2026,ＳＬＯＴギルティクラウンＵＣ,-701,4552
0,2027,ＳＬＯＴギルティクラウンＵＣ,-894,3974
0,2028,ＳＬＯＴギルティクラウンＵＣ,8148,7259
0,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-381,269
