,number,model_name,slump,allStarts,bb,rb,judge
60,2061,ＳＬＯＴアカギ／ＤＡ,-741,1595,4,12,lose
61,2062,モンスターハンター狂竜戦線／ＺＳ,-2284,1995,9,5,lose
62,2063,パチスロウルトラセブンＫＣ,1882,2548,36,2,win
63,2064,バイオハザードリベレーションズ／ＺＷ,-2001,5300,43,0,lose
64,2065,獣王　王者の覚醒／ＺＡ,-934,597,1,0,lose
65,2066,Ｓリング　恐襲ノ連鎖　ＪＡ,-127,3145,12,10,lose
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,375,390,4,2,win
67,2068,結城友奈は勇者である／ＤＥ,864,2568,16,9,win
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-2034,2719,8,5,lose
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,413,439,9,1,win
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,243,176,5,2,win
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,-14,340,4,1,lose
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,-1056,1794,8,6,lose
73,2074,Ｇ１優駿倶楽部／ＫＤ,-123,1136,12,0,lose
74,2075,Ｇ１優駿倶楽部／ＫＤ,-120,2544,21,0,lose
75,2076,Ｇ１優駿倶楽部／ＫＤ,-21,14,0,0,lose
76,2077,Ｇ１優駿倶楽部／ＫＤ,2184,851,16,0,win
77,2078,Ｇ１優駿倶楽部／ＫＤ,-66,879,8,0,lose
78,2079,ミリオンゴッド－神々の凱旋－ＢＤ,-922,1580,7,1,lose
79,2080,ミリオンゴッド－神々の凱旋－ＢＤ,-1587,2000,8,0,lose
80,2081,ミリオンゴッド－神々の凱旋－ＢＤ,427,1702,13,0,win
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,802,1883,16,1,win
82,2083,パチスロゴッドイーターＣＣ,-2247,1896,6,5,lose
83,2084,パチスロゴッドイーターＣＣ,484,5229,63,23,win
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,-1012,1893,5,10,lose
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,-383,3773,14,0,lose
86,2087,麻雀物語３役満乱舞の究極大戦Ｇ１,-1953,1953,1,1,lose
87,2088,シンデレラ×ブレイド２ＮＤ,157,2208,20,0,win
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,1855,1857,6,0,win
89,2090,やじきた道中記乙ＭＤ,-6,2,0,0,lose
90,2091,やじきた道中記乙ＭＤ,-6,2,0,0,lose
91,2092,やじきた道中記乙ＭＤ,-56,30,0,0,lose
92,2093,忍魂暁ノ章／Ａ２,-259,2620,9,8,lose
93,2094,モンキーターン２ＴＴ,2461,4274,38,0,win
94,2095,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-450,405,2,0,lose
95,2096,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-300,808,2,2,lose
96,2097,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1526,2043,2,2,lose
97,2098,パチスロ　修羅の刻Ａ,-3788,6479,25,2,lose
98,2099,スーパービンゴネオＭ１,-4959,4101,19,9,lose
99,2100,スーパービンゴネオＭ１,-1760,1571,10,5,lose
100,2101,スーパービンゴネオＭ１,3832,1640,15,2,win
101,2102,スーパービンゴネオＭ１,-2005,1703,9,4,lose
102,2103,スーパービンゴネオＭ１,2562,983,15,3,win
103,2104,スーパービンゴネオＭ１,6208,5494,76,13,win
104,2105,スーパービンゴネオＭ１,1612,262,2,1,win
105,2106,アラジンＡⅡＺＳ,152,3507,31,8,win
106,2107,パチスロ鉄拳３ＥＥ,-262,1993,25,27,lose
107,2108,パチスロ鉄拳３ＥＥ,-1142,2178,22,25,lose
108,2109,戦国コレクション２ＫＳ,-1528,1737,8,0,lose
109,2110,戦国コレクション２ＫＳ,881,4017,46,0,win
110,2111,パチスロ黄門ちゃま喝Ｄ１,1049,1896,22,11,win
111,2112,パチスロ黄門ちゃま喝Ｄ１,-393,1040,7,5,lose
112,2113,パチスロ黄門ちゃま喝Ｄ１,607,3035,24,13,win
113,2114,パチスロ黄門ちゃま喝Ｄ１,-782,1832,11,7,lose
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-169,1785,17,2,lose
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,782,1758,25,2,win
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1304,4524,33,4,lose
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,733,646,11,2,win
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,36,262,3,1,win
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,5650,3270,83,4,win
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-97,87,0,0,lose
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-36,25,0,0,lose
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-20,19,0,0,lose
123,2124,Ｓ闘魂継承アントニオ猪木Ｌ３,-872,1054,0,2,lose
124,2125,Ｓ闘魂継承アントニオ猪木Ｌ３,1215,1019,16,2,win
125,2126,Ｓ闘魂継承アントニオ猪木Ｌ３,0,0,0,0,lose
126,2127,政宗２／Ａ５,-28,17,0,0,lose
127,2128,政宗２／Ａ５,-833,6256,36,19,lose
128,2129,政宗２／Ａ５,-910,2410,11,6,lose
129,2130,政宗２／Ａ５,-209,1106,7,1,lose
130,2131,Ｓ天下布武４ＨＨ,717,1639,12,8,win
131,2132,Ｓ天下布武４ＨＨ,-137,148,0,0,lose
132,2133,Ｓ天下布武４ＨＨ,73,4155,26,16,win
133,2134,Ｓ天下布武４ＨＨ,-194,211,0,0,lose
134,2135,Ｓ天下布武４ＨＨ,-302,397,2,0,lose
135,2136,Ｓマジカルハロウィン７ＫＵ,0,0,0,0,lose
136,2137,Ｓマジカルハロウィン７ＫＵ,0,0,0,0,lose
137,2138,Ｓマジカルハロウィン７ＫＵ,644,1355,7,15,win
138,2139,Ｓマジカルハロウィン７ＫＵ,0,66,0,0,lose
139,2140,Ｓマジカルハロウィン７ＫＵ,0,199,1,0,lose
140,2141,Ｓルパン三世イタリアの夢Ｈ５,-494,548,0,1,lose
141,2142,Ｓルパン三世イタリアの夢Ｈ５,-306,268,0,1,lose
142,2143,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,476,442,7,0,win
143,2144,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-18,109,0,1,lose
144,2145,パチスロ聖闘士星矢海皇覚醒ＫＨ,-534,549,1,0,lose
145,2146,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2032,2865,10,1,lose
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,588,2450,29,2,win
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,-605,626,1,0,lose
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,-574,826,3,1,lose
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1069,1745,5,1,lose
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1010,2755,17,3,lose
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-2544,4636,13,6,lose
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-8,8,0,0,lose
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-491,838,2,1,lose
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-196,307,1,0,lose
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-30,3624,17,13,lose
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-4,178,1,0,lose
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-672,1102,2,0,lose
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,660,1880,10,13,win
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-761,1977,7,2,lose
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-2380,4342,27,2,lose
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-315,1407,13,1,lose
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2094,1706,39,2,win
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1247,1374,1,0,lose
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1235,1356,0,0,lose
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-2803,2952,5,0,lose
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-37,32,0,0,lose
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-41,32,0,0,lose
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,11,2471,28,3,win
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1064,5568,50,5,lose
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-905,1040,2,0,lose
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,4442,1714,62,3,win
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1849,3870,59,4,win
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-50,33,0,0,lose
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,113,817,11,1,win
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-105,67,0,0,lose
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-716,827,1,0,lose
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,138,901,0,1,win
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-53,34,0,0,lose
179,2180,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-593,1055,0,0,lose
180,2181,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-95,798,4,5,lose
181,2182,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1724,3473,18,18,win
182,2183,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,37,2040,9,11,win
183,2184,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-941,1760,5,2,lose
184,2185,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-302,3259,12,0,lose
185,2186,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,990,2841,13,18,win
186,2187,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-651,513,1,0,lose
187,2188,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-736,5236,14,5,lose
188,2189,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
189,2190,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-323,894,10,1,lose
190,2191,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
191,2192,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
192,2193,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-185,253,1,0,lose
193,2194,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-838,2783,29,2,lose
194,2195,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-36,733,7,1,lose
195,2196,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-769,913,2,0,lose
196,2197,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1723,6658,111,8,win
197,2198,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-357,940,10,1,lose
198,2199,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
199,2200,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
200,2201,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-60,4503,55,3,lose
201,2202,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-62,664,7,1,lose
202,2203,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-310,292,0,0,lose
203,2204,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
204,2205,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-326,1859,16,0,lose
205,2206,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1134,1300,31,2,win
206,2207,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,122,2927,28,1,win
207,2208,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,125,619,6,1,win
208,2209,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1056,959,2,0,lose
209,2210,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1011,1970,16,1,lose
210,2211,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-821,926,2,0,lose
211,2212,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-530,1383,10,1,lose
212,2213,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,871,114,13,0,win
213,2214,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-818,1412,12,1,lose
214,2215,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,47,953,13,1,win
215,2216,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-488,2311,19,1,lose
216,2217,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
217,2218,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-763,954,2,0,lose
218,2219,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-232,572,2,0,lose
219,2220,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-851,942,2,0,lose
220,2221,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,108,952,14,1,win
221,2222,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,653,841,21,2,win
222,2223,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,435,785,13,1,win
223,2224,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
224,2225,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,4092,7714,144,9,win
225,2226,マイジャグラーⅣ／ＫＥ,775,5560,21,17,win
226,2227,マイジャグラーⅣ／ＫＥ,-718,7802,24,25,lose
227,2228,マイジャグラーⅣ／ＫＥ,-572,649,1,1,lose
228,2229,マイジャグラーⅣ／ＫＥ,716,4892,19,15,win
229,2230,マイジャグラーⅣ／ＫＥ,-1052,1560,4,3,lose
230,2231,マイジャグラーⅣ／ＫＥ,1200,8174,35,27,win
231,2232,マイジャグラーⅣ／ＫＥ,-943,3559,10,10,lose
232,2233,マイジャグラーⅣ／ＫＥ,-375,5201,19,11,lose
233,2234,マイジャグラーⅣ／ＫＥ,-2467,1754,0,1,lose
234,2235,マイジャグラーⅣ／ＫＥ,-876,1130,1,3,lose
235,2236,マイジャグラーⅣ／ＫＥ,678,6684,28,18,win
236,2237,マイジャグラーⅣ／ＫＥ,-306,642,2,1,lose
237,2238,マイジャグラーⅣ／ＫＥ,1847,7490,32,29,win
238,2239,マイジャグラーⅣ／ＫＥ,-683,2048,7,7,lose
239,2240,マイジャグラーⅣ／ＫＥ,-801,4275,12,13,lose
240,2241,マイジャグラーⅣ／ＫＥ,473,9165,34,32,win
241,2242,マイジャグラーⅣ／ＫＥ,-435,3444,12,9,lose
242,2243,マイジャグラーⅣ／ＫＥ,-1078,3653,12,6,lose
243,2244,マイジャグラーⅣ／ＫＥ,-169,4909,19,11,lose
244,2245,マイジャグラーⅣ／ＫＥ,44,2051,8,4,win
245,2246,マイジャグラーⅣ／ＫＥ,-854,2650,7,6,lose
246,2247,マイジャグラーⅣ／ＫＥ,1362,4693,22,11,win
247,2248,マイジャグラーⅣ／ＫＥ,-230,1564,6,5,lose
248,2249,マイジャグラーⅣ／ＫＥ,1642,5474,23,22,win
249,2250,マイジャグラーⅣ／ＫＥ,2077,8323,38,23,win
250,2251,マイジャグラーⅣ／ＫＥ,2533,4938,25,13,win
251,2252,マイジャグラーⅣ／ＫＥ,-1182,3024,8,6,lose
252,2253,マイジャグラーⅣ／ＫＥ,3765,8743,38,43,win
253,2254,マイジャグラーⅣ／ＫＥ,-96,1359,4,4,lose
254,2255,マイジャグラーⅣ／ＫＥ,2273,6456,30,19,win
255,2256,マイジャグラーⅣ／ＫＥ,406,2432,10,8,win
256,2257,マイジャグラーⅣ／ＫＥ,2122,7955,36,30,win
257,2258,マイジャグラーⅣ／ＫＥ,-172,850,3,3,lose
258,2259,マイジャグラーⅣ／ＫＥ,-427,7481,24,31,lose
259,2260,マイジャグラーⅣ／ＫＥ,175,1115,6,2,win
260,2261,マイジャグラーⅣ／ＫＥ,-702,6236,23,15,lose
261,2262,マイジャグラーⅣ／ＫＥ,2385,9941,40,35,win
262,2263,マイジャグラー３ＫＤ,-51,2845,10,12,lose
263,2264,マイジャグラー３ＫＤ,-366,2006,7,5,lose
264,2265,マイジャグラー３ＫＤ,-818,3896,16,10,lose
265,2266,マイジャグラー３ＫＤ,1620,7196,25,0,win
266,2267,マイジャグラー３ＫＤ,-994,815,1,0,lose
267,2268,マイジャグラー３ＫＤ,1374,7685,34,21,win
268,2269,マイジャグラー３ＫＤ,-166,744,3,1,lose
269,2270,ゴーゴージャグラー２／ＫＤ,-1268,1824,3,6,lose
270,2271,ゴーゴージャグラー２／ＫＤ,-1335,2721,8,7,lose
271,2272,ゴーゴージャグラー２／ＫＤ,-1284,1551,4,1,lose
272,2273,ゴーゴージャグラー２／ＫＤ,-730,1380,4,3,lose
273,2274,ゴーゴージャグラーＫＫ,1543,4877,22,18,win
274,2275,ゴーゴージャグラーＫＫ,-281,149,1,0,lose
275,2276,ゴーゴージャグラーＫＫ,1423,6604,29,29,win
276,2277,ゴーゴージャグラーＫＫ,1516,7380,34,26,win
277,2278,ゴーゴージャグラーＫＫ,-1265,5949,16,30,lose
278,2279,ゴーゴージャグラーＫＫ,-591,6186,18,32,lose
279,2280,ゴーゴージャグラーＫＫ,-213,3472,15,7,lose
280,2281,ゴーゴージャグラーＫＫ,2769,5447,28,18,win
281,2282,ゴーゴージャグラーＫＫ,1735,9222,39,31,win
282,2283,ゴーゴージャグラーＫＫ,1780,2893,19,8,win
283,2284,ゴーゴージャグラーＫＫ,-934,891,1,4,lose
284,2285,ゴーゴージャグラーＫＫ,-1263,3141,9,8,lose
285,2286,ゴーゴージャグラーＫＫ,-840,1336,4,3,lose
286,2287,ゴーゴージャグラーＫＫ,-457,4270,17,8,lose
287,2288,ゴーゴージャグラーＫＫ,-1494,2388,6,5,lose
288,2289,ゴーゴージャグラーＫＫ,478,3346,15,9,win
289,2290,ゴーゴージャグラー２／ＫＤ,30,4279,18,6,win
290,2291,ゴーゴージャグラー２／ＫＤ,-1122,5223,15,21,lose
291,2292,ゴーゴージャグラー２／ＫＤ,-1310,1833,3,5,lose
292,2293,ゴーゴージャグラー２／ＫＤ,-544,1245,4,2,lose
293,2294,ゴーゴージャグラー２／ＫＤ,-25,2659,15,12,lose
294,2295,マイジャグラー３ＫＤ,1000,4762,20,22,win
295,2296,マイジャグラー３ＫＤ,-465,1763,4,5,lose
296,2297,マイジャグラー３ＫＤ,3329,7918,36,30,win
297,2298,マイジャグラー３ＫＤ,-503,2015,6,8,lose
298,2299,マイジャグラー３ＫＤ,-520,817,2,1,lose
299,2300,マイジャグラーⅣ／ＫＥ,1368,8752,35,26,win
300,2301,マイジャグラーⅣ／ＫＥ,-1455,4475,14,8,lose
301,2302,スーパーミラクルジャグラー／ＫＵ,755,5559,28,5,win
302,2303,スーパーミラクルジャグラー／ＫＵ,-1512,1390,2,2,lose
303,2304,スーパーミラクルジャグラー／ＫＵ,-764,3201,11,7,lose
304,2305,スーパーミラクルジャグラー／ＫＵ,-59,2149,8,4,lose
305,2306,スーパーミラクルジャグラー／ＫＵ,-1018,1557,4,1,lose
306,2307,アイムジャグラーＥＸアニバーサリー／ＫＫ,-938,1389,4,2,lose
307,2308,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-977,5031,14,17,lose
308,2309,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-662,1283,2,5,lose
309,2310,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1379,3084,8,8,lose
310,2311,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-981,3066,9,9,lose
311,2312,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1268,3115,18,4,win
312,2313,アイムジャグラーＥＸ－ＡＥ／ＫＴ,215,5930,19,27,win
313,2314,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1438,5759,26,15,win
314,2315,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-329,859,4,0,lose
315,2316,アイムジャグラーＥＸ－ＡＥ／ＫＴ,315,6578,27,16,win
316,2317,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1067,1929,6,2,lose
317,2318,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-136,2927,10,7,lose
318,2319,ゴーゴージャグラーＫＫ,-237,4582,17,13,lose
319,2320,ゴーゴージャグラーＫＫ,-331,2512,9,9,lose
320,2321,ゴーゴージャグラーＫＫ,741,3765,17,12,win
321,2322,ゴーゴージャグラーＫＫ,1732,7436,33,21,win
322,2323,ゴーゴージャグラーＫＫ,-567,698,1,2,lose
323,2324,ゴーゴージャグラーＫＫ,150,5714,21,24,win
324,2325,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1219,1619,2,4,lose
325,2326,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-413,5317,18,14,lose
326,2327,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-576,2341,8,6,lose
327,2328,アイムジャグラーＥＸ－ＡＥ／ＫＴ,0,0,0,0,lose
328,2329,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1360,2278,4,6,lose
329,2330,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1545,2630,6,3,lose
330,2331,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-800,3106,9,8,lose
331,2332,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-50,2930,12,8,lose
332,2333,アイムジャグラーＥＸ－ＡＥ／ＫＴ,189,1519,7,2,win
333,2334,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-321,4268,16,10,lose
334,2335,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1171,1850,5,5,lose
335,2336,アイムジャグラーＥＸアニバーサリー／ＫＫ,-342,2950,10,7,lose
336,2337,スーパーミラクルジャグラー／ＫＵ,-594,643,1,0,lose
337,2338,スーパーミラクルジャグラー／ＫＵ,2503,8805,44,22,win
