,number,model_name,slump,allStarts,bb,rb,judge
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,-1954,1120,1,0,lose
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-2209,2938,12,1,lose
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-2408,1415,1,0,lose
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-1065,693,1,0,lose
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,-1760,1816,6,0,lose
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,-1225,1063,3,0,lose
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,283,2158,14,0,win
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,-673,1110,5,0,lose
8,2009,ＳスカイガールズＫＫ,-1056,3016,8,11,lose
9,2010,地獄少女　宵伽ＦＳＢ,2139,1685,46,0,win
10,2011,ハイスクールオブザデッド／ＣＣ,-9,6,0,0,lose
11,2012,織田信奈の野望Ｓ,-490,1746,6,14,lose
12,2013,ブラックラグーンリミットブレイクＴ,-565,1701,7,3,lose
13,2014,パチスロ閃乱カグラ／ＪＸ,-1419,3459,9,3,lose
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,116,1276,7,8,win
15,2016,Ｓパチスロラブ嬢２Ｌ２,-698,1811,0,3,lose
16,2017,Ｓパチスロラブ嬢２Ｌ２,-2031,4070,0,12,lose
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,-2,1,0,0,lose
18,2019,コードギアス反逆のルルーシュＲ２／ＺＸ,-1735,4068,13,21,lose
19,2020,麻雀格闘倶楽部２／ＫＡ,-1065,2937,0,0,lose
20,2021,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,555,4028,0,6,win
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1155,2321,12,0,win
22,2023,ＳＬＯＴギルティクラウンＵＣ,-497,2270,6,11,lose
23,2024,ＳＬＯＴギルティクラウンＵＣ,-1517,4005,13,23,lose
24,2025,ＳＬＯＴギルティクラウンＵＣ,594,4219,13,34,win
25,2026,ＳＬＯＴギルティクラウンＵＣ,-911,1291,2,5,lose
26,2027,ＳＬＯＴギルティクラウンＵＣ,-1967,1853,4,2,lose
27,2028,ＳＬＯＴギルティクラウンＵＣ,-2873,3272,11,6,lose
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-919,1785,0,0,lose
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,3258,5042,0,0,win
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-554,458,0,0,lose
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1207,3241,0,0,win
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-851,1190,0,0,lose
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-360,767,0,0,lose
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-304,1297,0,0,lose
35,2036,戦国乙女２深淵に輝く気高き将星／Ｄ２,-436,500,1,1,lose
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,68,2938,22,6,win
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,0,0,0,0,lose
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,4292,4036,49,0,win
39,2040,戦国乙女２深淵に輝く気高き将星／Ｄ２,-810,1152,4,2,lose
40,2041,戦国乙女２深淵に輝く気高き将星／Ｄ２,-598,3171,20,8,lose
41,2042,戦国乙女２深淵に輝く気高き将星／Ｄ２,-1206,6406,40,21,lose
42,2043,マジカルハロウィン５／ＫＡ,-366,182,0,0,lose
43,2044,マジカルハロウィン５／ＫＡ,864,3342,19,0,win
44,2045,マジカルハロウィン５／ＫＡ,3348,3241,24,0,win
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,-973,976,1,1,lose
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,1439,905,22,2,win
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-285,227,0,0,lose
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,-27,16,0,0,lose
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,-54,25,0,0,lose
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,1649,1252,30,5,win
51,2052,パチスロガールフレンド（仮）／Ｇ４,-272,1021,8,5,lose
52,2053,パチスロガールフレンド（仮）／Ｇ４,-102,745,7,4,lose
53,2054,パチスロガールフレンド（仮）／Ｇ４,-185,1148,8,5,lose
54,2055,パチスロガールフレンド（仮）／Ｇ４,2144,3889,44,22,win
55,2056,パチスロガールフレンド（仮）／Ｇ４,504,979,10,4,win
56,2057,パチスロガールフレンド（仮）／Ｇ４,1437,4534,46,23,win
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,-884,3862,36,23,lose
58,2059,ＳＬＯＴバジリスクⅢＢＥ,-1275,2580,22,2,lose
59,2060,ＳＬＯＴアカギ／ＤＡ,-657,965,2,4,lose
