,number,model_name,slump,allStarts
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,-3590,3770
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-1204,3972
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,1999,3951
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-2571,3083
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,-1076,2457
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,1055,3691
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-8,3097
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,6880,1950
8,2009,ＳスカイガールズＫＫ,-2699,5885
9,2010,地獄少女　宵伽ＦＳＢ,2217,2250
10,2011,ハイスクールオブザデッド／ＣＣ,720,3245
11,2012,織田信奈の野望Ｓ,5123,1180
12,2013,ブラックラグーンリミットブレイクＴ,2900,6684
13,2014,パチスロ閃乱カグラ／ＪＸ,-1735,6860
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,810,6023
15,2016,パチスロ黒神／Ｋ２,-1735,2719
16,2017,結城友奈は勇者である／ＤＥ,-1477,3158
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,-1345,1606
18,2019,ＳミルキィホームズＮＤ,2026,3365
19,2020,ＳミルキィホームズＮＤ,-1239,1646
20,2021,Ｓ麻雀格闘倶楽部３ＫＲ,-1731,3854
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1257,2086
22,2023,ＳＬＯＴギルティクラウンＵＣ,56,7870
23,2024,ＳＬＯＴギルティクラウンＵＣ,-608,5439
24,2025,ＳＬＯＴギルティクラウンＵＣ,-871,5158
25,2026,ＳＬＯＴギルティクラウンＵＣ,-3661,4391
26,2027,ＳＬＯＴギルティクラウンＵＣ,-2035,7959
27,2028,ＳＬＯＴギルティクラウンＵＣ,4778,8612
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,26,8546
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1464,8090
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,5846,8438
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,3092,9541
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4972,8947
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2050,6995
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1421,8574
35,2036,麻雀物語３役満乱舞の究極大戦Ｇ１,-1303,6125
36,2037,シンデレラ×ブレイド２ＮＤ,3781,6045
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,1196,1981
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,2138,6847
39,2040,戦国乙女２深淵に輝く気高き将星／Ｄ２,1279,5491
40,2041,戦国乙女２深淵に輝く気高き将星／Ｄ２,-45,2036
41,2042,戦国乙女２深淵に輝く気高き将星／Ｄ２,1341,5010
42,2043,マジカルハロウィン５／ＫＡ,-1939,3768
43,2044,マジカルハロウィン５／ＫＡ,-594,3251
44,2045,マジカルハロウィン５／ＫＡ,2133,6763
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,-250,487
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,-287,3546
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-1608,3290
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,-1051,1338
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,3986,2148
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,2158,5241
51,2052,Ｓ喰霊零　運命乱ＪＪ,243,2706
52,2053,Ｓトータル・イクリプス２Ｒ,-446,6811
53,2054,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,-1481,3644
54,2055,Ｓリング　恐襲ノ連鎖　ＪＡ,-1389,6350
55,2056,忍魂暁ノ章／Ａ２,-1839,3924
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,-3053,5496
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,-2057,2388
58,2059,ＳＬＯＴバジリスクⅢＢＥ,2115,3177
59,2060,ＳＬＯＴアカギ／ＤＡ,-765,1290
60,2061,ＳＬＯＴアカギ／ＤＡ,284,1439
61,2062,モンスターハンター狂竜戦線／ＺＳ,1929,2952
62,2063,パチスロウルトラセブンＫＣ,566,1997
63,2064,バイオハザードリベレーションズ／ＺＷ,-4257,7095
64,2065,獣王　王者の覚醒／ＺＡ,-153,3992
65,2066,Ｓ猛獣王　王者の咆哮ＺＺ,-1140,1343
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,-2266,4453
67,2068,ＳＡＴ天元突破グレンラガンＹ,947,1949
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-892,821
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,1959,1917
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,-439,1893
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,-1603,1687
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,-2337,3509
73,2074,Ｇ１優駿倶楽部／ＫＤ,93,3430
74,2075,Ｇ１優駿倶楽部／ＫＤ,-132,3993
75,2076,Ｇ１優駿倶楽部／ＫＤ,-1962,3263
76,2077,Ｇ１優駿倶楽部／ＫＤ,-798,2161
77,2078,Ｇ１優駿倶楽部／ＫＤ,63,3729
78,2079,ミリオンゴッド－神々の凱旋－ＢＤ,-1387,3554
79,2080,ミリオンゴッド－神々の凱旋－ＢＤ,1982,3871
80,2081,ミリオンゴッド－神々の凱旋－ＢＤ,2369,1372
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,5114,2929
82,2083,パチスロゴッドイーターＣＣ,695,3015
83,2084,パチスロゴッドイーターＣＣ,1017,3725
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,414,3164
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,1621,5190
86,2087,パチスロマクロスフロンティア２Ｇ,3092,6610
87,2088,パチスロマクロスフロンティア２Ｇ,-2514,7836
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,-2731,3652
89,2090,やじきた道中記乙ＭＤ,540,3294
90,2091,やじきた道中記乙ＭＤ,-1730,1838
91,2092,やじきた道中記乙ＭＤ,-1847,3215
