,number,model_name,slump,allStarts,bb,rb,judge
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,-3721,6107,32,0,lose
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,1324,2091,19,0,win
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-138,4513,27,2,lose
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-2471,1848,5,0,lose
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,1002,4116,32,2,win
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,-194,3688,26,1,lose
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,164,1870,15,0,win
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,-5535,3844,8,0,lose
8,2009,ＳスカイガールズＫＫ,-242,4745,14,15,lose
9,2010,地獄少女　宵伽ＦＳＢ,3265,2679,64,0,win
10,2011,ハイスクールオブザデッド／ＣＣ,-1485,1266,0,2,lose
11,2012,織田信奈の野望Ｓ,-1274,2167,7,16,lose
12,2013,ブラックラグーンリミットブレイクＴ,-1987,2185,7,3,lose
13,2014,パチスロ閃乱カグラ／ＪＸ,-1395,4149,10,9,lose
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-550,2293,12,11,lose
15,2016,Ｓパチスロラブ嬢２Ｌ２,767,5376,0,9,win
16,2017,Ｓパチスロラブ嬢２Ｌ２,-629,1288,0,2,lose
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,974,245,0,15,win
18,2019,コードギアス反逆のルルーシュＲ２／ＺＸ,-2993,8632,32,32,lose
19,2020,麻雀格闘倶楽部２／ＫＡ,1054,2020,0,0,win
20,2021,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,564,4452,0,13,win
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-628,342,0,0,lose
22,2023,ＳＬＯＴギルティクラウンＵＣ,-885,7435,27,47,lose
23,2024,ＳＬＯＴギルティクラウンＵＣ,-4566,6938,17,26,lose
24,2025,ＳＬＯＴギルティクラウンＵＣ,-1258,5810,15,39,lose
25,2026,ＳＬＯＴギルティクラウンＵＣ,-2375,6436,20,30,lose
26,2027,ＳＬＯＴギルティクラウンＵＣ,-725,8472,34,53,lose
27,2028,ＳＬＯＴギルティクラウンＵＣ,-2548,5917,17,25,lose
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1649,2790,0,0,lose
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-615,1498,0,0,lose
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-437,5186,0,0,lose
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,2048,7615,0,0,win
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-148,89,0,0,lose
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1417,1126,0,0,lose
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,7,7891,0,0,win
35,2036,戦国乙女２深淵に輝く気高き将星／Ｄ２,-2247,2740,6,6,lose
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,5173,3038,46,11,win
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,277,1048,7,3,win
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,-789,825,1,0,lose
39,2040,戦国乙女２深淵に輝く気高き将星／Ｄ２,1163,1730,17,5,win
40,2041,戦国乙女２深淵に輝く気高き将星／Ｄ２,862,3107,27,8,win
41,2042,戦国乙女２深淵に輝く気高き将星／Ｄ２,541,2406,18,5,win
42,2043,マジカルハロウィン５／ＫＡ,-980,3392,25,0,lose
43,2044,マジカルハロウィン５／ＫＡ,-1849,2402,13,0,lose
44,2045,マジカルハロウィン５／ＫＡ,1526,5765,30,0,win
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,-1032,2080,10,6,lose
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,-319,534,2,2,lose
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-979,1772,8,5,lose
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,-661,735,1,1,lose
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,154,1943,22,6,win
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,5774,4253,107,13,win
51,2052,パチスロガールフレンド（仮）／Ｇ４,693,3179,32,19,win
52,2053,パチスロガールフレンド（仮）／Ｇ４,1698,2173,24,7,win
53,2054,パチスロガールフレンド（仮）／Ｇ４,-914,1036,2,2,lose
54,2055,パチスロガールフレンド（仮）／Ｇ４,-1514,3815,20,14,lose
55,2056,パチスロガールフレンド（仮）／Ｇ４,-811,1441,6,5,lose
56,2057,パチスロガールフレンド（仮）／Ｇ４,-1310,3309,18,12,lose
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,-693,1829,16,7,lose
58,2059,ＳＬＯＴバジリスクⅢＢＥ,-1347,2373,17,3,lose
59,2060,ＳＬＯＴアカギ／ＤＡ,1470,1732,8,34,win
60,2061,ＳＬＯＴアカギ／ＤＡ,-751,1041,2,5,lose
61,2062,モンスターハンター狂竜戦線／ＺＳ,3853,5668,70,142,win
62,2063,パチスロウルトラセブンＫＣ,-348,210,0,0,lose
63,2064,バイオハザードリベレーションズ／ＺＷ,3421,7036,59,0,win
64,2065,獣王　王者の覚醒／ＺＡ,2202,9926,45,57,win
65,2066,Ｓリング　恐襲ノ連鎖　ＪＡ,-450,1020,3,3,lose
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,-234,192,0,1,lose
67,2068,結城友奈は勇者である／ＤＥ,-938,1456,2,2,lose
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-743,2292,17,9,lose
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,-355,1114,11,3,lose
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,-545,778,3,2,lose
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,-1240,1267,5,1,lose
