,number,model_name,slump,allStarts,bb,rb,judge
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,-1545,4685,33,15,lose
73,2074,Ｇ１優駿倶楽部／ＫＤ,-411,377,0,0,lose
74,2075,Ｇ１優駿倶楽部／ＫＤ,177,1177,16,0,win
75,2076,Ｇ１優駿倶楽部／ＫＤ,357,647,5,0,win
76,2077,Ｇ１優駿倶楽部／ＫＤ,-3,2,0,0,lose
77,2078,Ｇ１優駿倶楽部／ＫＤ,-765,1007,2,0,lose
78,2079,ミリオンゴッド－神々の凱旋－ＢＤ,-1606,2760,13,1,lose
79,2080,ミリオンゴッド－神々の凱旋－ＢＤ,1984,2520,24,0,win
80,2081,ミリオンゴッド－神々の凱旋－ＢＤ,2750,4044,37,0,win
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,-4866,4719,15,1,lose
82,2083,パチスロゴッドイーターＣＣ,-1283,4402,40,16,lose
83,2084,パチスロゴッドイーターＣＣ,-1080,2683,21,6,lose
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,-855,1587,8,4,lose
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,1641,4701,29,0,win
86,2087,麻雀物語３役満乱舞の究極大戦Ｇ１,-3925,5011,9,6,lose
87,2088,シンデレラ×ブレイド２ＮＤ,-2221,2806,14,0,lose
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,-2451,2408,3,0,lose
89,2090,やじきた道中記乙ＭＤ,3131,2569,23,15,win
90,2091,やじきた道中記乙ＭＤ,-2811,3450,12,7,lose
91,2092,やじきた道中記乙ＭＤ,1560,4000,30,17,win
92,2093,忍魂暁ノ章／Ａ２,-243,1852,4,6,lose
93,2094,モンキーターン２ＴＴ,-1359,2061,13,0,lose
94,2095,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,766,4049,34,1,win
95,2096,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,1779,913,9,7,win
96,2097,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-139,105,0,0,lose
97,2098,パチスロ　修羅の刻Ａ,-2044,4884,19,0,lose
98,2099,スーパービンゴネオＭ１,-1878,1159,3,2,lose
99,2100,スーパービンゴネオＭ１,-2978,1961,4,2,lose
100,2101,スーパービンゴネオＭ１,-1179,812,1,1,lose
101,2102,スーパービンゴネオＭ１,-3701,3255,13,8,lose
102,2103,スーパービンゴネオＭ１,-1752,1439,6,3,lose
103,2104,スーパービンゴネオＭ１,-1443,1264,7,6,lose
104,2105,スーパービンゴネオＭ１,-4858,4350,26,12,lose
105,2106,アラジンＡⅡＺＳ,8337,2858,61,12,win
106,2107,パチスロ鉄拳３ＥＥ,-264,1016,12,12,lose
107,2108,パチスロ鉄拳３ＥＥ,-1136,4336,52,61,lose
108,2109,戦国コレクション２ＫＳ,-3171,4319,22,0,lose
109,2110,戦国コレクション２ＫＳ,195,3504,28,0,win
110,2111,パチスロ黄門ちゃま喝Ｄ１,-38,1824,17,6,lose
111,2112,パチスロ黄門ちゃま喝Ｄ１,-1822,2642,15,8,lose
112,2113,パチスロ黄門ちゃま喝Ｄ１,-877,919,4,4,lose
113,2114,パチスロ黄門ちゃま喝Ｄ１,-232,2515,13,7,lose
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-5173,6782,20,2,lose
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,923,2620,35,3,win
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,2072,2116,42,4,win
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-83,1649,15,1,lose
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-630,714,1,0,lose
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,-3259,4121,11,1,lose
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,407,187,2,0,win
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-50,27,0,0,lose
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-25,25,0,0,lose
123,2124,Ｓ闘魂継承アントニオ猪木Ｌ３,-158,2791,18,6,lose
124,2125,Ｓ闘魂継承アントニオ猪木Ｌ３,-533,1738,9,2,lose
125,2126,Ｓ闘魂継承アントニオ猪木Ｌ３,-649,1042,4,2,lose
126,2127,政宗２／Ａ５,-355,498,2,1,lose
127,2128,政宗２／Ａ５,1324,3534,34,9,win
128,2129,政宗２／Ａ５,-74,443,3,1,lose
129,2130,政宗２／Ａ５,120,5375,39,10,win
130,2131,Ｓ天下布武４ＨＨ,-1097,2854,11,6,lose
131,2132,Ｓ天下布武４ＨＨ,-566,997,5,0,lose
132,2133,Ｓ天下布武４ＨＨ,930,5191,26,43,win
133,2134,Ｓ天下布武４ＨＨ,-182,146,0,0,lose
134,2135,Ｓ天下布武４ＨＨ,1578,2114,13,26,win
135,2136,Ｓマジカルハロウィン７ＫＵ,68,553,2,8,win
136,2137,Ｓマジカルハロウィン７ＫＵ,-523,1000,4,1,lose
137,2138,Ｓマジカルハロウィン７ＫＵ,-176,792,2,1,lose
138,2139,Ｓマジカルハロウィン７ＫＵ,-246,834,3,1,lose
139,2140,Ｓマジカルハロウィン７ＫＵ,-453,927,3,2,lose
140,2141,Ｓルパン三世イタリアの夢Ｈ５,-56,34,0,0,lose
141,2142,Ｓルパン三世イタリアの夢Ｈ５,-7,3,0,0,lose
142,2143,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-628,1389,3,4,lose
143,2144,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,221,1278,6,5,win
144,2145,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1824,3476,15,2,lose
145,2146,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2943,3823,11,1,lose
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2421,3160,8,1,lose
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,-280,479,2,0,lose
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2108,3506,15,2,lose
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,-192,1085,7,1,lose
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1640,4456,26,2,lose
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-638,3531,18,9,lose
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1093,1356,3,3,lose
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,746,3984,13,20,win
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-907,1375,4,1,lose
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2458,4543,26,31,win
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-409,3043,12,10,lose
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-964,2218,6,8,lose
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,590,2253,7,5,win
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-368,5972,23,23,lose
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-127,786,10,1,lose
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-688,710,1,0,lose
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-847,1016,2,0,lose
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-755,3665,11,2,lose
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-778,2000,0,1,lose
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1274,1035,2,0,lose
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-37,1247,13,1,lose
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1429,1875,4,0,lose
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1483,1455,2,0,lose
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1462,4156,29,3,lose
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1476,6373,59,5,lose
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-784,4398,39,3,lose
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-346,1597,16,2,lose
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-492,796,6,1,lose
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-968,2150,15,2,lose
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,6102,8728,155,12,win
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,3048,3165,63,4,win
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-661,1864,0,1,lose
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-11,33,0,0,lose
179,2180,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-2107,2256,0,0,lose
180,2181,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-788,867,1,0,lose
181,2182,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1756,2389,8,4,lose
182,2183,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-245,5779,20,23,lose
183,2184,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-13,13,0,0,lose
184,2185,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1233,3547,9,0,win
185,2186,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-456,1210,3,4,lose
186,2187,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-698,2614,10,10,lose
187,2188,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-699,623,2,0,lose
188,2189,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
189,2190,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1592,4294,74,5,win
190,2191,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-212,1911,21,2,lose
191,2192,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,429,654,14,1,win
192,2193,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-83,638,1,0,lose
193,2194,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-658,1096,9,1,lose
194,2195,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-47,1999,29,2,lose
195,2196,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-414,2693,35,3,lose
196,2197,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,327,605,11,1,win
197,2198,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
198,2199,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1059,4503,74,7,win
199,2200,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
200,2201,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-372,591,2,0,lose
201,2202,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-529,1980,17,2,lose
202,2203,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,170,2633,0,4,win
203,2204,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
204,2205,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-437,837,2,0,lose
205,2206,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1393,3596,65,5,win
206,2207,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
207,2208,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
208,2209,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1624,2867,18,1,lose
209,2210,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-56,630,9,1,lose
210,2211,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1508,1661,4,0,lose
211,2212,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,395,548,17,1,win
212,2213,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-182,1895,28,0,lose
213,2214,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-946,2011,17,1,lose
214,2215,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-366,3133,43,4,lose
215,2216,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-114,709,9,1,lose
216,2217,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0,lose
217,2218,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1976,5211,105,0,win
218,2219,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-136,895,11,1,lose
219,2220,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,699,10,1,lose
220,2221,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-779,882,2,0,lose
221,2222,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,592,2536,44,3,win
222,2223,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-128,636,12,1,lose
223,2224,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-663,1783,18,1,lose
224,2225,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,632,4966,82,7,win
225,2226,マイジャグラーⅣ／ＫＥ,693,5898,26,9,win
226,2227,マイジャグラーⅣ／ＫＥ,-1035,3178,10,4,lose
227,2228,マイジャグラーⅣ／ＫＥ,-724,7689,24,24,lose
228,2229,マイジャグラーⅣ／ＫＥ,-2531,3259,5,6,lose
229,2230,マイジャグラーⅣ／ＫＥ,-1030,4281,12,11,lose
230,2231,マイジャグラーⅣ／ＫＥ,-1756,5708,17,12,lose
231,2232,マイジャグラーⅣ／ＫＥ,-1579,2242,3,5,lose
232,2233,マイジャグラーⅣ／ＫＥ,710,8753,35,23,win
233,2234,マイジャグラーⅣ／ＫＥ,-450,645,1,2,lose
234,2235,マイジャグラーⅣ／ＫＥ,1489,8097,33,29,win
235,2236,マイジャグラーⅣ／ＫＥ,-451,2562,9,4,lose
236,2237,マイジャグラーⅣ／ＫＥ,10,4005,15,12,win
237,2238,マイジャグラーⅣ／ＫＥ,-1089,8234,29,19,lose
238,2239,マイジャグラーⅣ／ＫＥ,1128,8582,32,25,win
239,2240,マイジャグラーⅣ／ＫＥ,-597,6736,26,12,lose
240,2241,マイジャグラーⅣ／ＫＥ,1371,7662,35,15,win
241,2242,マイジャグラーⅣ／ＫＥ,-633,5766,22,9,lose
242,2243,マイジャグラーⅣ／ＫＥ,-917,8678,27,32,lose
243,2244,マイジャグラーⅣ／ＫＥ,2861,9693,47,27,win
244,2245,マイジャグラーⅣ／ＫＥ,-973,2187,6,4,lose
245,2246,マイジャグラーⅣ／ＫＥ,-2222,4270,9,12,lose
246,2247,マイジャグラーⅣ／ＫＥ,24,3309,13,8,win
247,2248,マイジャグラーⅣ／ＫＥ,1708,7539,29,31,win
248,2249,マイジャグラーⅣ／ＫＥ,416,4298,18,10,win
249,2250,マイジャグラーⅣ／ＫＥ,-534,3308,11,6,lose
250,2251,マイジャグラーⅣ／ＫＥ,251,9004,34,27,win
251,2252,マイジャグラーⅣ／ＫＥ,-370,1664,6,3,lose
252,2253,マイジャグラーⅣ／ＫＥ,145,3987,15,9,win
253,2254,マイジャグラーⅣ／ＫＥ,-1215,5144,12,19,lose
254,2255,マイジャグラーⅣ／ＫＥ,858,8847,33,30,win
255,2256,マイジャグラーⅣ／ＫＥ,1392,6554,31,12,win
256,2257,マイジャグラーⅣ／ＫＥ,-586,2344,5,10,lose
257,2258,マイジャグラーⅣ／ＫＥ,-1600,3828,9,9,lose
258,2259,マイジャグラーⅣ／ＫＥ,-1113,3940,11,11,lose
259,2260,マイジャグラーⅣ／ＫＥ,283,4970,18,17,win
260,2261,マイジャグラーⅣ／ＫＥ,-1724,7025,24,14,lose
261,2262,マイジャグラーⅣ／ＫＥ,-1133,5256,16,10,lose
262,2263,マイジャグラー３ＫＤ,151,5684,21,17,win
263,2264,マイジャグラー３ＫＤ,-608,1277,7,1,lose
264,2265,マイジャグラー３ＫＤ,-1589,4782,13,13,lose
265,2266,マイジャグラー３ＫＤ,84,1956,9,0,win
266,2267,マイジャグラー３ＫＤ,1032,7217,31,0,win
267,2268,マイジャグラー３ＫＤ,129,2928,10,10,win
268,2269,マイジャグラー３ＫＤ,-2671,3785,6,13,lose
269,2270,ゴーゴージャグラー２／ＫＤ,1357,7881,34,27,win
270,2271,ゴーゴージャグラー２／ＫＤ,1333,4422,22,10,win
271,2272,ゴーゴージャグラー２／ＫＤ,-663,2481,8,4,lose
272,2273,ゴーゴージャグラー２／ＫＤ,-196,4779,16,23,lose
273,2274,ゴーゴージャグラーＫＫ,-803,1337,3,3,lose
274,2275,ゴーゴージャグラーＫＫ,-823,9230,38,21,lose
275,2276,ゴーゴージャグラーＫＫ,-325,972,3,2,lose
276,2277,ゴーゴージャグラーＫＫ,1603,6839,32,19,win
277,2278,ゴーゴージャグラーＫＫ,141,9213,30,37,win
278,2279,ゴーゴージャグラーＫＫ,-1123,3137,9,8,lose
279,2280,ゴーゴージャグラーＫＫ,3278,5425,28,23,win
280,2281,ゴーゴージャグラーＫＫ,-136,6250,25,15,lose
281,2282,ゴーゴージャグラーＫＫ,-66,3547,12,13,lose
282,2283,ゴーゴージャグラーＫＫ,1992,8391,35,30,win
283,2284,ゴーゴージャグラーＫＫ,-240,1584,3,7,lose
284,2285,ゴーゴージャグラーＫＫ,-632,4557,16,12,lose
285,2286,ゴーゴージャグラーＫＫ,937,6588,32,25,win
286,2287,ゴーゴージャグラーＫＫ,-600,722,1,2,lose
287,2288,ゴーゴージャグラーＫＫ,1506,5910,29,20,win
288,2289,ゴーゴージャグラーＫＫ,407,4689,20,11,win
289,2290,ゴーゴージャグラー２／ＫＤ,-224,2339,10,2,lose
290,2291,ゴーゴージャグラー２／ＫＤ,-1037,1883,4,6,lose
291,2292,ゴーゴージャグラー２／ＫＤ,154,7450,29,23,win
292,2293,ゴーゴージャグラー２／ＫＤ,-343,401,1,0,lose
293,2294,ゴーゴージャグラー２／ＫＤ,2400,6793,34,24,win
294,2295,マイジャグラー３ＫＤ,591,6095,25,19,win
295,2296,マイジャグラー３ＫＤ,-644,976,2,3,lose
296,2297,マイジャグラー３ＫＤ,-626,2025,6,5,lose
297,2298,マイジャグラー３ＫＤ,-444,3109,11,5,lose
298,2299,マイジャグラー３ＫＤ,-1978,5348,13,16,lose
299,2300,マイジャグラーⅣ／ＫＥ,891,5351,23,12,win
300,2301,マイジャグラーⅣ／ＫＥ,1385,9060,39,20,win
301,2302,スーパーミラクルジャグラー／ＫＵ,2702,4987,28,10,win
302,2303,スーパーミラクルジャグラー／ＫＵ,1543,7328,32,17,win
303,2304,スーパーミラクルジャグラー／ＫＵ,-370,1246,3,2,lose
304,2305,スーパーミラクルジャグラー／ＫＵ,-365,3618,13,5,lose
305,2306,スーパーミラクルジャグラー／ＫＵ,553,3956,16,15,win
306,2307,アイムジャグラーＥＸアニバーサリー／ＫＫ,-1137,2030,5,2,lose
307,2308,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-645,1911,5,5,lose
308,2309,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1366,7517,25,11,lose
309,2310,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-879,1178,2,2,lose
310,2311,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1323,3256,9,8,lose
311,2312,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-815,2759,8,5,lose
312,2313,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1806,3564,8,7,lose
313,2314,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-641,1391,4,1,lose
314,2315,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1066,2102,5,5,lose
315,2316,アイムジャグラーＥＸ－ＡＥ／ＫＴ,953,5465,25,11,win
316,2317,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-671,1624,4,3,lose
317,2318,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-81,3406,14,5,lose
318,2319,ゴーゴージャグラーＫＫ,184,3505,13,13,win
319,2320,ゴーゴージャグラーＫＫ,-603,1791,5,4,lose
320,2321,ゴーゴージャグラーＫＫ,-1043,4149,13,11,lose
321,2322,ゴーゴージャグラーＫＫ,-267,5465,21,16,lose
322,2323,ゴーゴージャグラーＫＫ,-1251,1597,2,6,lose
323,2324,ゴーゴージャグラーＫＫ,225,5408,22,13,win
324,2325,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-442,1568,4,4,lose
325,2326,アイムジャグラーＥＸ－ＡＥ／ＫＴ,205,7418,26,22,win
326,2327,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-406,775,2,0,lose
327,2328,アイムジャグラーＥＸ－ＡＥ／ＫＴ,0,0,0,0,lose
328,2329,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1014,1730,3,4,lose
329,2330,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1674,4534,11,12,lose
330,2331,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-369,3078,10,5,lose
331,2332,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1374,1913,3,4,lose
332,2333,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-32,4401,16,8,lose
333,2334,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1141,1186,2,0,lose
334,2335,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-619,3034,11,2,lose
335,2336,アイムジャグラーＥＸアニバーサリー／ＫＫ,-418,2083,6,6,lose
