,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,5001,6552
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1402,1566
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1085,4365
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-2743,4916
4,2005,麻雀格闘倶楽部２／ＫＡ,-415,3550
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,-3810,4930
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,135,3672
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,1175,4676
8,2009,攻殻機動隊２／ＺＳ,1012,3946
9,2010,地獄少女　宵伽ＦＳＢ,-1950,2094
10,2011,ハイスクールオブザデッド／ＣＣ,248,5896
11,2012,織田信奈の野望Ｓ,1718,3228
12,2013,ブラックラグーンリミットブレイクＴ,1032,3901
13,2014,パチスロ閃乱カグラ／ＪＸ,-611,7675
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-1135,1448
15,2016,Ｓ　あのはな　ＺＭ,-292,2254
16,2017,結城友奈は勇者である／ＤＥ,-1834,4442
17,2018,回胴性ミリオンアーサーＢＮ,-162,3740
18,2019,これはゾンビですか／ＫＡ,-249,3961
19,2020,マジカルハロウィン５／ＫＡ,4662,7733
20,2021,マジカルハロウィン５／ＫＡ,-591,5144
21,2022,マジカルハロウィン５／ＫＡ,-2138,5209
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1393,4119
23,2024,Ｓマジカルハロウィン７ＫＵ,6864,8061
24,2025,Ｓマジカルハロウィン７ＫＵ,852,7091
25,2026,Ｓマジカルハロウィン７ＫＵ,-144,4222
26,2027,Ｓマジカルハロウィン７ＫＵ,-1758,5526
27,2028,Ｓマジカルハロウィン７ＫＵ,-1943,3314
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-421,7157
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1926,3456
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-938,3280
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1067,7064
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1362,2340
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,2663,6741
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1933,9143
35,2036,Ｓルパン三世イタリアの夢Ｈ５,-2076,5342
36,2037,Ｓルパン三世イタリアの夢Ｈ５,-343,5243
37,2038,Ｓルパン三世イタリアの夢Ｈ５,478,3099
38,2039,Ｓルパン三世イタリアの夢Ｈ５,1528,6658
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-1335,2573
40,2041,Ｓルパン三世イタリアの夢Ｈ５,-38,7185
41,2042,Ｓルパン三世イタリアの夢Ｈ５,-785,4909
42,2043,Ｓルパン三世イタリアの夢Ｈ５,-1495,1841
43,2044,Ｓルパン三世イタリアの夢Ｈ５,438,8323
44,2045,ルパン三世世界解剖／Ｋ１,-395,1392
45,2046,ＳＬＯＴギルティクラウンＵＣ,1153,6604
46,2047,ＳＬＯＴギルティクラウンＵＣ,-1173,6064
47,2048,ＳＬＯＴギルティクラウンＵＣ,-3764,5032
48,2049,ＳＬＯＴギルティクラウンＵＣ,-659,6941
49,2050,ＳＬＯＴギルティクラウンＵＣ,-1888,3291
50,2051,ＳＬＯＴギルティクラウンＵＣ,-2372,5750
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,87,2628
52,2053,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,1615,7965
53,2054,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,689,8519
54,2055,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,99,2444
55,2056,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,85,3827
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,-2878,4227
57,2058,パチスロ　サクラ大戦　熱き血潮に／ＸＲ,-812,3209
58,2059,ケロロ軍曹／Ａ２,-288,504
59,2060,パチスロ　戦場のヴァルキュリア／ＲＳ,1885,3069
60,2061,ＳＬＯＴアカギ／ＤＡ,970,4366
61,2062,Ｓ　ＧⅠ優駿倶楽部２ＫＢ,-696,1698
62,2063,Ｓ　蒼天の拳ＡＡ　ＺＢ,-1523,1897
63,2064,バイオハザードリベレーションズ／ＺＷ,3654,8142
64,2065,獣王　王者の覚醒／ＺＡ,-548,1644
65,2066,Ｓ猛獣王　王者の咆哮ＺＺ,-688,1611
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,-311,2293
67,2068,ＳＡＴ天元突破グレンラガンＹ,111,2872
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-2194,3348
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,-1030,2930
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,6023,3551
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,-1909,2074
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,1827,2814
73,2074,Ｇ１優駿倶楽部／ＫＤ,6849,2776
74,2075,Ｇ１優駿倶楽部／ＫＤ,-846,1692
75,2076,Ｇ１優駿倶楽部／ＫＤ,2037,3484
76,2077,Ｇ１優駿倶楽部／ＫＤ,1341,2195
77,2078,Ｇ１優駿倶楽部／ＫＤ,-1446,2542
78,2079,Ｓ呪怨　再誕ＡＴ　ＦＣ,-366,4681
79,2080,Ｓ呪怨　再誕ＡＴ　ＦＣ,1198,4246
80,2081,パチスロリング　ノロイノナノカカンＦＳＢ,1227,4509
81,2082,パチスロリング　ノロイノナノカカンＦＳＢ,-995,3927
82,2083,Ｓトータル・イクリプス２Ｒ,125,5218
83,2084,Ｓ喰霊零　運命乱ＪＪ,-100,5650
84,2085,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,1633,3876
85,2086,パチスロマクロスフロンティア２Ｇ,306,7232
86,2087,パチスロマクロスフロンティア２Ｇ,1289,5985
87,2088,サラリーマン金太郎　出世回胴編ＸＦ,250,3350
88,2089,シンデレラ×ブレイド２ＮＤ,-4794,6069
89,2090,やじきた道中記乙ＭＤ,1217,853
90,2091,やじきた道中記乙ＭＤ,3676,4121
91,2092,やじきた道中記乙ＭＤ,-949,2048
92,2093,乙女魂ＪＶ,-451,1747
93,2094,モンキーターン２ＴＴ,-2031,4809
94,2095,緑ドンＶＩＶＡ２ＭＲ,-74,6690
95,2096,サムライチャンプルー流転輪廻Ｘ,-447,2024
96,2097,パチスロバーストエンジェルＥＥ,-1060,2924
97,2098,パチスロ　修羅の刻Ａ,-2902,4688
98,2099,戦国コレクション２ＫＳ,3333,3761
99,2100,戦国コレクション２ＫＳ,-838,2489
100,2101,パチスロ黄門ちゃま喝Ｄ１,-1764,4730
101,2102,パチスロ黄門ちゃま喝Ｄ１,-2361,2589
102,2103,パチスロ黄門ちゃま喝Ｄ１,-4265,4234
103,2104,パチスロ黄門ちゃま喝Ｄ１,1171,7089
104,2105,パチスロゴッドイーターＣＣ,-2259,5507
105,2106,パチスロゴッドイーターＣＣ,-3401,3712
106,2107,Ｓ闘魂継承アントニオ猪木Ｌ３,-834,2787
107,2108,Ｓ闘魂継承アントニオ猪木Ｌ３,-360,2290
108,2109,Ｓ闘魂継承アントニオ猪木Ｌ３,-365,2692
109,2110,Ｓガールズ＆パンツァーＧ／ＬＡ１,-134,357
110,2111,Ｓガールズ＆パンツァーＧ／ＬＡ１,-1735,2058
111,2112,Ｓガールズ＆パンツァーＧ／ＬＡ１,-1375,1527
112,2113,Ｓガールズ＆パンツァーＧ／ＬＡ１,-280,2575
113,2114,Ｓガールズ＆パンツァーＧ／ＬＡ１,321,5277
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2223,3427
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,2374,1579
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,1741,5182
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-882,1940
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1044,3252
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,-858,4706
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-559,6322
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-443,563
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-846,1721
123,2124,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,3775,6594
124,2125,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,95,1733
125,2126,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-1514,3692
126,2127,政宗２／Ａ５,5464,6203
127,2128,政宗２／Ａ５,359,6567
128,2129,政宗２／Ａ５,-821,2249
129,2130,政宗２／Ａ５,4457,6054
130,2131,パチスロ鉄拳３ＥＥ,3365,3251
131,2132,パチスロ鉄拳３ＥＥ,-3563,4532
132,2133,Ｓパチスロ鉄拳４ＣＣ,1495,4383
133,2134,Ｓパチスロ鉄拳４ＣＣ,3156,6721
134,2135,Ｓパチスロ鉄拳４ＣＣ,-1472,2053
135,2136,パチスロ笑ゥせぇるすまん３ＫＪ,-2482,3316
136,2137,パチスロ笑ゥせぇるすまん３ＫＪ,-868,1544
137,2138,パチスロ笑ゥせぇるすまん３ＫＪ,167,2641
138,2139,パチスロ笑ゥせぇるすまん３ＫＪ,-293,2534
139,2140,パチスロ笑ゥせぇるすまん３ＫＪ,-99,95
140,2141,パチスロ笑ゥせぇるすまん３ＫＪ,14435,1411
141,2142,Ｓ天下布武４ＨＨ,-2000,5188
142,2143,Ｓ天下布武４ＨＨ,-1416,3662
143,2144,Ｓ天下布武４ＨＨ,-93,7043
144,2145,Ｓ天下布武４ＨＨ,-2430,4752
145,2146,Ｓ天下布武４ＨＨ,-1937,3181
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,-502,2138
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,-3095,4605
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,2902,2774
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,189,3235
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,8132,3383
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-521,6180
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1421,5832
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1160,5864
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1052,5690
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-621,6235
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-330,6312
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,795,6356
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-59,6244
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1215,6473
