,number,model_name,slump,allStarts
93,2094,モンキーターン２ＴＴ,-1637,3537
94,2095,緑ドンＶＩＶＡ２ＭＲ,1010,3649
95,2096,サムライチャンプルー流転輪廻Ｘ,0,0
96,2097,パチスロバーストエンジェルＥＥ,-858,1265
97,2098,パチスロ　修羅の刻Ａ,-2381,2455
98,2099,戦国コレクション２ＫＳ,-185,130
99,2100,戦国コレクション２ＫＳ,-1000,1267
100,2101,パチスロ黄門ちゃま喝Ｄ１,-520,663
101,2102,パチスロ黄門ちゃま喝Ｄ１,515,3279
102,2103,パチスロ黄門ちゃま喝Ｄ１,9,156
103,2104,パチスロ黄門ちゃま喝Ｄ１,,
104,2105,パチスロゴッドイーターＣＣ,-970,1052
105,2106,パチスロゴッドイーターＣＣ,-1180,2655
106,2107,Ｓ闘魂継承アントニオ猪木Ｌ３,-27,24
107,2108,Ｓ闘魂継承アントニオ猪木Ｌ３,15,992
108,2109,Ｓ闘魂継承アントニオ猪木Ｌ３,-23,18
109,2110,Ｓガールズ＆パンツァーＧ／ＬＡ１,-5,2
110,2111,Ｓガールズ＆パンツァーＧ／ＬＡ１,-246,407
111,2112,Ｓガールズ＆パンツァーＧ／ＬＡ１,-415,887
112,2113,Ｓガールズ＆パンツァーＧ／ＬＡ１,-452,1002
113,2114,Ｓガールズ＆パンツァーＧ／ＬＡ１,-730,544
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,5257,1944
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,-443,559
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1014,2032
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-264,1120
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1126,1130
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,832,2243
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-1846,4196
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-720,1068
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,3831,3155
123,2124,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,196,181
124,2125,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,2706,1223
125,2126,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-109,108
126,2127,政宗２／Ａ５,-923,976
127,2128,政宗２／Ａ５,-157,92
128,2129,政宗２／Ａ５,5737,6085
129,2130,政宗２／Ａ５,-495,2929
130,2131,パチスロ鉄拳３ＥＥ,-419,2178
131,2132,パチスロ鉄拳３ＥＥ,-637,671
132,2133,Ｓパチスロ鉄拳４ＣＣ,-880,954
133,2134,Ｓパチスロ鉄拳４ＣＣ,279,3561
134,2135,Ｓパチスロ鉄拳４ＣＣ,-574,1033
135,2136,パチスロ笑ゥせぇるすまん３ＫＪ,-92,90
136,2137,パチスロ笑ゥせぇるすまん３ＫＪ,1656,1677
137,2138,パチスロ笑ゥせぇるすまん３ＫＪ,-123,105
138,2139,パチスロ笑ゥせぇるすまん３ＫＪ,1477,2380
139,2140,パチスロ笑ゥせぇるすまん３ＫＪ,-146,94
140,2141,パチスロ笑ゥせぇるすまん３ＫＪ,2081,173
141,2142,Ｓ天下布武４ＨＨ,-375,734
142,2143,Ｓ天下布武４ＨＨ,2597,5381
143,2144,Ｓ天下布武４ＨＨ,-870,1076
144,2145,Ｓ天下布武４ＨＨ,-873,1479
145,2146,Ｓ天下布武４ＨＨ,-901,2727
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,5035,1662
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1016,1022
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,1688,988
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1212,1489
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1486,2000
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
