,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,-1031,3938
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-832,1080
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-259,330
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-999,1280
4,2005,麻雀格闘倶楽部２／ＫＡ,-454,1469
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,-2283,3200
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,-847,1866
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,-915,1243
8,2009,攻殻機動隊２／ＺＳ,-3825,3727
9,2010,地獄少女　宵伽ＦＳＢ,-846,1097
10,2011,ハイスクールオブザデッド／ＣＣ,-1647,3608
11,2012,織田信奈の野望Ｓ,1952,497
12,2013,ブラックラグーンリミットブレイクＴ,871,3580
13,2014,パチスロ閃乱カグラ／ＪＸ,2513,3050
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,2471,6342
15,2016,Ｓ　あのはな　ＺＭ,-4,8
16,2017,結城友奈は勇者である／ＤＥ,3810,1260
17,2018,回胴性ミリオンアーサーＢＮ,2350,3162
18,2019,これはゾンビですか／ＫＡ,396,1315
19,2020,マジカルハロウィン５／ＫＡ,1935,5955
20,2021,マジカルハロウィン５／ＫＡ,639,8414
21,2022,マジカルハロウィン５／ＫＡ,1291,7783
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-968,998
23,2024,Ｓマジカルハロウィン７ＫＵ,-899,1207
24,2025,Ｓマジカルハロウィン７ＫＵ,729,5295
25,2026,Ｓマジカルハロウィン７ＫＵ,345,2572
26,2027,Ｓマジカルハロウィン７ＫＵ,-1627,1751
27,2028,Ｓマジカルハロウィン７ＫＵ,-1436,4778
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1583,4846
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,128,3114
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1544,2299
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,683,1527
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1027,3492
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-409,3771
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-937,1014
35,2036,Ｓルパン三世イタリアの夢Ｈ５,-928,3101
36,2037,Ｓルパン三世イタリアの夢Ｈ５,-702,2618
37,2038,Ｓルパン三世イタリアの夢Ｈ５,-316,1854
38,2039,Ｓルパン三世イタリアの夢Ｈ５,502,1722
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-586,1138
40,2041,Ｓルパン三世イタリアの夢Ｈ５,-744,5156
41,2042,Ｓルパン三世イタリアの夢Ｈ５,434,4630
42,2043,Ｓルパン三世イタリアの夢Ｈ５,-193,4044
43,2044,Ｓルパン三世イタリアの夢Ｈ５,-348,2519
44,2045,ルパン三世世界解剖／Ｋ１,-504,2113
45,2046,ＳＬＯＴギルティクラウンＵＣ,9912,8458
46,2047,ＳＬＯＴギルティクラウンＵＣ,-1875,5591
47,2048,ＳＬＯＴギルティクラウンＵＣ,-833,7358
48,2049,ＳＬＯＴギルティクラウンＵＣ,-5,7301
49,2050,ＳＬＯＴギルティクラウンＵＣ,629,5642
50,2051,ＳＬＯＴギルティクラウンＵＣ,-3853,4786
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-305,3488
52,2053,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,1110,3648
53,2054,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,701,3650
54,2055,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,359,1526
55,2056,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,272,6554
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,-2749,3093
57,2058,パチスロ　サクラ大戦　熱き血潮に／ＸＲ,-347,2751
58,2059,ケロロ軍曹／Ａ２,-203,288
59,2060,パチスロ　戦場のヴァルキュリア／ＲＳ,-996,1024
60,2061,ＳＬＯＴアカギ／ＤＡ,2912,177
61,2062,Ｓ　ＧⅠ優駿倶楽部２ＫＢ,-357,1902
62,2063,Ｓ　蒼天の拳ＡＡ　ＺＢ,-1144,2735
63,2064,バイオハザードリベレーションズ／ＺＷ,1778,4947
64,2065,獣王　王者の覚醒／ＺＡ,-314,1628
65,2066,Ｓ猛獣王　王者の咆哮ＺＺ,-745,714
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,-4,428
67,2068,ＳＡＴ天元突破グレンラガンＹ,-869,2588
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,1347,3159
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,1083,916
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,-875,1398
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,2893,2597
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,-640,1131
73,2074,Ｇ１優駿倶楽部／ＫＤ,-528,818
74,2075,Ｇ１優駿倶楽部／ＫＤ,-681,1392
75,2076,Ｇ１優駿倶楽部／ＫＤ,-843,2446
76,2077,Ｇ１優駿倶楽部／ＫＤ,-942,950
77,2078,Ｇ１優駿倶楽部／ＫＤ,-1221,1371
