,number,model_name,slump,allStarts,bb,rb,judge
67,2068,結城友奈は勇者である／ＤＥ,3740,3654,29,15,win
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-119,1902,16,9,lose
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,173,2173,23,7,win
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,6078,637,60,8,win
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,690,1440,20,10,win
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,-841,3281,27,14,lose
73,2074,Ｇ１優駿倶楽部／ＫＤ,-1302,2170,5,0,lose
74,2075,Ｇ１優駿倶楽部／ＫＤ,2139,1733,28,0,win
75,2076,Ｇ１優駿倶楽部／ＫＤ,1593,4004,50,0,win
76,2077,Ｇ１優駿倶楽部／ＫＤ,-1101,1692,7,0,lose
77,2078,Ｇ１優駿倶楽部／ＫＤ,285,5080,54,0,win
78,2079,ミリオンゴッド－神々の凱旋－ＢＤ,-3279,4528,21,1,lose
79,2080,ミリオンゴッド－神々の凱旋－ＢＤ,-1754,3281,16,1,lose
80,2081,ミリオンゴッド－神々の凱旋－ＢＤ,-1503,4203,22,0,lose
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,-3691,4883,21,0,lose
82,2083,パチスロゴッドイーターＣＣ,745,4571,57,19,win
83,2084,パチスロゴッドイーターＣＣ,-561,4705,46,16,lose
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,-898,4776,18,25,lose
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,1224,7408,34,0,win
86,2087,麻雀物語３役満乱舞の究極大戦Ｇ１,-2618,6013,23,8,lose
87,2088,シンデレラ×ブレイド２ＮＤ,-1652,5195,40,0,lose
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,503,2195,6,0,win
89,2090,やじきた道中記乙ＭＤ,6568,2260,17,9,win
90,2091,やじきた道中記乙ＭＤ,-2182,1681,4,4,lose
91,2092,やじきた道中記乙ＭＤ,-1690,2243,9,7,lose
92,2093,忍魂暁ノ章／Ａ２,9750,7564,48,35,win
93,2094,モンキーターン２ＴＴ,-307,2789,26,0,lose
94,2095,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1267,1941,12,0,lose
95,2096,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1349,1892,3,2,lose
96,2097,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,2001,3234,22,18,win
97,2098,パチスロ　修羅の刻Ａ,1182,5627,38,4,win
98,2099,スーパービンゴネオＭ１,450,2627,13,5,win
99,2100,スーパービンゴネオＭ１,-3320,2788,15,6,lose
100,2101,スーパービンゴネオＭ１,-1802,1710,12,3,lose
101,2102,スーパービンゴネオＭ１,2661,1927,28,3,win
102,2103,スーパービンゴネオＭ１,-2409,1729,5,3,lose
103,2104,スーパービンゴネオＭ１,2235,947,5,1,win
104,2105,スーパービンゴネオＭ１,299,2369,24,7,win
105,2106,アラジンＡⅡＺＳ,-3267,5287,38,27,lose
106,2107,パチスロ鉄拳３ＥＥ,-1970,2874,22,27,lose
107,2108,パチスロ黄門ちゃま喝Ｄ１,4061,3779,43,19,win
108,2109,パチスロ黄門ちゃま喝Ｄ１,-1576,2111,10,6,lose
109,2110,パチスロ黄門ちゃま喝Ｄ１,-1090,3160,25,13,lose
110,2111,パチスロ黄門ちゃま喝Ｄ１,-1321,3484,26,14,lose
111,2112,Ｓパチスロ青鬼ｖｅｒ１．０００Ｌ４,2871,5832,80,4,win
112,2113,Ｓパチスロ青鬼ｖｅｒ１．０００Ｌ４,-4700,5848,13,0,lose
113,2114,Ｓパチスロ青鬼ｖｅｒ１．０００Ｌ４,-3507,6864,35,1,lose
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1463,3021,19,2,lose
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2863,4527,20,2,lose
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,-391,2774,26,3,lose
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1664,4562,34,4,lose
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-4099,6401,25,3,lose
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,-3774,6069,25,2,lose
120,2121,Ｓ天下布武４ＨＨ,-1156,2029,0,7,lose
121,2122,Ｓ天下布武４ＨＨ,-576,568,1,0,lose
122,2123,Ｓ天下布武４ＨＨ,-268,680,4,0,lose
123,2124,Ｓ天下布武４ＨＨ,1611,4273,23,37,win
124,2125,Ｓ天下布武４ＨＨ,-264,406,1,0,lose
125,2126,政宗２／Ａ５,484,5625,49,10,win
126,2127,政宗２／Ａ５,-667,1021,5,2,lose
127,2128,政宗２／Ａ５,-2196,6124,22,16,lose
128,2129,政宗２／Ａ５,-1517,3767,11,12,lose
129,2130,政宗２／Ａ５,-1335,4173,23,7,lose
130,2131,獣王　王者の覚醒／ＺＡ,-126,5475,20,36,lose
131,2132,戦国コレクション２ＫＳ,-1846,3080,19,0,lose
132,2133,戦国コレクション２ＫＳ,-4475,3624,7,0,lose
133,2134,Ｓマジカルハロウィン７ＫＵ,1047,1951,5,20,win
134,2135,Ｓマジカルハロウィン７ＫＵ,3575,4331,21,31,win
135,2136,Ｓマジカルハロウィン７ＫＵ,-1240,2434,8,5,lose
136,2137,Ｓマジカルハロウィン７ＫＵ,-113,137,0,0,lose
137,2138,Ｓ闘魂継承アントニオ猪木Ｌ３,1128,7237,59,23,win
138,2139,Ｓ闘魂継承アントニオ猪木Ｌ３,2208,3575,50,10,win
139,2140,Ｓ闘魂継承アントニオ猪木Ｌ３,-781,2228,11,5,lose
140,2141,Ｓルパン三世イタリアの夢Ｈ５,-817,872,0,3,lose
141,2142,Ｓルパン三世イタリアの夢Ｈ５,494,723,4,0,win
142,2143,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,67,5820,15,7,win
143,2144,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,144,197,2,0,win
144,2145,パチスロ聖闘士星矢海皇覚醒ＫＨ,-927,1532,6,1,lose
145,2146,パチスロ聖闘士星矢海皇覚醒ＫＨ,2136,4380,61,4,win
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1903,4584,30,3,lose
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2730,4638,25,1,lose
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,2100,3183,52,7,win
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,-314,4014,32,4,lose
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2054,3651,21,1,lose
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,510,4398,19,20,win
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-570,3963,14,11,lose
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1070,4842,15,13,lose
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,9,6324,27,31,win
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,13,6022,31,20,win
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,952,2609,11,11,win
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1266,6801,32,35,win
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1897,2716,12,14,win
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1596,2914,9,6,lose
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-145,1443,13,1,lose
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,157,3278,40,3,win
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-645,6510,65,8,lose
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2056,4351,64,5,win
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-190,1755,0,1,lose
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-424,4668,43,3,lose
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1431,2701,44,4,win
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,4515,7985,131,17,win
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1241,3847,52,3,win
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-159,1421,14,1,lose
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1613,3498,24,2,lose
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-448,1552,11,1,lose
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,3428,6073,95,6,win
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1317,4576,63,5,win
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,3206,7578,122,10,win
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-379,2919,29,3,lose
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-351,6231,67,8,lose
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2985,9301,43,10,win
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1749,799,24,1,win
179,2180,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,163,6255,6,8,win
180,2181,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1370,2043,5,0,lose
181,2182,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-3329,6321,16,12,lose
182,2183,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1480,1643,5,0,lose
183,2184,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1474,4038,12,8,lose
184,2185,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,855,5370,20,0,win
185,2186,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,609,6441,29,31,win
186,2187,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,614,4883,18,20,win
187,2188,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-896,8610,47,10,lose
188,2189,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,680,6254,92,0,win
189,2190,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-2322,2678,9,0,lose
190,2191,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,137,2285,32,3,win
191,2192,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1865,559,25,1,win
192,2193,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,3381,6453,133,12,win
193,2194,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-693,655,2,0,lose
194,2195,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-399,2993,38,3,lose
195,2196,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,587,6502,89,8,win
196,2197,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-659,1950,20,2,lose
197,2198,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-99,6390,98,8,lose
198,2199,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-2181,3404,18,1,lose
199,2200,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-343,644,5,1,lose
200,2201,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-791,875,2,0,lose
201,2202,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1743,4864,79,5,win
202,2203,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-298,1447,0,1,lose
203,2204,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-698,1596,13,1,lose
204,2205,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1711,2578,16,0,lose
205,2206,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-79,7335,90,7,lose
206,2207,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,643,2659,42,3,win
207,2208,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1834,7513,121,10,win
208,2209,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-663,1629,15,2,lose
209,2210,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,545,3049,47,4,win
210,2211,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-709,2339,24,3,lose
211,2212,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-14,679,9,1,lose
212,2213,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,40,1834,24,0,win
213,2214,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-281,2958,39,4,lose
214,2215,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1134,934,2,0,lose
215,2216,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-550,4417,39,4,lose
216,2217,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-844,3222,4,2,lose
217,2218,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,5644,6526,168,0,win
218,2219,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1314,6061,107,9,win
219,2220,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,947,927,25,2,win
220,2221,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,2475,850,39,2,win
221,2222,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-101,2893,38,4,lose
222,2223,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1125,2827,50,4,win
223,2224,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,347,2812,38,3,win
224,2225,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,438,3216,53,4,win
225,2226,マイジャグラーⅣ／ＫＥ,810,7997,32,22,win
226,2227,マイジャグラーⅣ／ＫＥ,-1458,3298,8,5,lose
227,2228,マイジャグラーⅣ／ＫＥ,2599,8079,37,23,win
228,2229,マイジャグラーⅣ／ＫＥ,-2038,5576,15,11,lose
229,2230,マイジャグラーⅣ／ＫＥ,1867,9157,39,29,win
230,2231,マイジャグラーⅣ／ＫＥ,-1727,7365,22,21,lose
231,2232,マイジャグラーⅣ／ＫＥ,956,7908,33,21,win
232,2233,マイジャグラーⅣ／ＫＥ,131,7406,29,15,win
233,2234,マイジャグラーⅣ／ＫＥ,579,8526,30,35,win
234,2235,マイジャグラーⅣ／ＫＥ,2752,8860,41,27,win
235,2236,マイジャグラーⅣ／ＫＥ,-1756,4082,9,13,lose
236,2237,マイジャグラーⅣ／ＫＥ,2171,8440,37,21,win
237,2238,マイジャグラーⅣ／ＫＥ,-99,9689,30,40,lose
238,2239,マイジャグラーⅣ／ＫＥ,-415,6369,21,21,lose
239,2240,マイジャグラーⅣ／ＫＥ,-119,2330,9,5,lose
240,2241,マイジャグラーⅣ／ＫＥ,1235,8393,29,39,win
241,2242,マイジャグラーⅣ／ＫＥ,-820,5456,19,9,lose
242,2243,マイジャグラーⅣ／ＫＥ,-1911,6439,19,16,lose
243,2244,マイジャグラーⅣ／ＫＥ,1026,6842,28,19,win
244,2245,マイジャグラーⅣ／ＫＥ,1812,7512,36,15,win
245,2246,マイジャグラーⅣ／ＫＥ,3471,8133,38,27,win
246,2247,マイジャグラーⅣ／ＫＥ,585,7223,29,23,win
247,2248,マイジャグラーⅣ／ＫＥ,1974,8250,34,31,win
248,2249,マイジャグラーⅣ／ＫＥ,875,6435,28,15,win
249,2250,マイジャグラーⅣ／ＫＥ,-1079,4968,14,16,lose
250,2251,マイジャグラーⅣ／ＫＥ,2768,8767,42,24,win
251,2252,マイジャグラーⅣ／ＫＥ,-2367,3097,5,6,lose
252,2253,マイジャグラーⅣ／ＫＥ,-1325,5235,16,12,lose
253,2254,マイジャグラーⅣ／ＫＥ,-1578,8179,27,20,lose
254,2255,マイジャグラーⅣ／ＫＥ,158,4959,20,8,win
255,2256,マイジャグラーⅣ／ＫＥ,-1453,6738,19,22,lose
256,2257,マイジャグラーⅣ／ＫＥ,-700,7653,26,21,lose
257,2258,マイジャグラーⅣ／ＫＥ,-496,8514,23,41,lose
258,2259,マイジャグラーⅣ／ＫＥ,-827,5153,18,10,lose
259,2260,マイジャグラーⅣ／ＫＥ,1415,8163,32,31,win
260,2261,マイジャグラーⅣ／ＫＥ,1228,8732,38,20,win
261,2262,マイジャグラーⅣ／ＫＥ,1492,7460,33,15,win
262,2263,マイジャグラー３ＫＤ,-891,3031,7,11,lose
263,2264,マイジャグラー３ＫＤ,-1548,3531,10,6,lose
264,2265,マイジャグラー３ＫＤ,-993,3545,11,8,lose
265,2266,マイジャグラー３ＫＤ,-901,7356,23,1,lose
266,2267,マイジャグラー３ＫＤ,153,3455,12,0,win
267,2268,マイジャグラー３ＫＤ,-915,8645,28,25,lose
268,2269,マイジャグラー３ＫＤ,12,2924,11,5,win
269,2270,ゴーゴージャグラー２／ＫＤ,1766,7349,32,29,win
270,2271,ゴーゴージャグラー２／ＫＤ,-1418,3840,11,8,lose
271,2272,ゴーゴージャグラー２／ＫＤ,-356,2157,9,2,lose
272,2273,ゴーゴージャグラー２／ＫＤ,-959,5795,17,20,lose
273,2274,ゴーゴージャグラーＫＫ,-914,2023,5,6,lose
274,2275,ゴーゴージャグラーＫＫ,-551,2629,9,7,lose
275,2276,ゴーゴージャグラーＫＫ,389,6028,23,16,win
276,2277,ゴーゴージャグラーＫＫ,-612,1096,3,1,lose
277,2278,ゴーゴージャグラーＫＫ,-12,8199,31,26,lose
278,2279,ゴーゴージャグラーＫＫ,-674,2631,7,10,lose
279,2280,ゴーゴージャグラーＫＫ,-1,4253,17,11,lose
280,2281,ゴーゴージャグラーＫＫ,2029,7295,33,25,win
281,2282,ゴーゴージャグラーＫＫ,-347,4673,17,15,lose
282,2283,ゴーゴージャグラーＫＫ,2777,8767,41,32,win
283,2284,ゴーゴージャグラーＫＫ,3422,6984,40,17,win
284,2285,ゴーゴージャグラーＫＫ,-504,996,3,1,lose
285,2286,ゴーゴージャグラーＫＫ,1936,7094,28,35,win
286,2287,ゴーゴージャグラーＫＫ,-2164,2448,2,5,lose
287,2288,ゴーゴージャグラーＫＫ,-3052,5855,13,17,lose
288,2289,ゴーゴージャグラーＫＫ,-1148,3380,11,5,lose
289,2290,ゴーゴージャグラー２／ＫＤ,161,4122,17,11,win
290,2291,ゴーゴージャグラー２／ＫＤ,1463,4786,25,8,win
291,2292,ゴーゴージャグラー２／ＫＤ,-977,1581,3,3,lose
292,2293,ゴーゴージャグラー２／ＫＤ,-724,4981,17,16,lose
293,2294,ゴーゴージャグラー２／ＫＤ,-698,5693,20,19,lose
294,2295,マイジャグラー３ＫＤ,-1332,3604,9,8,lose
295,2296,マイジャグラー３ＫＤ,-1028,4437,15,8,lose
296,2297,マイジャグラー３ＫＤ,-1585,5907,16,16,lose
297,2298,マイジャグラー３ＫＤ,970,8062,30,27,win
298,2299,マイジャグラー３ＫＤ,-996,3367,9,8,lose
299,2300,マイジャグラーⅣ／ＫＥ,339,5590,22,17,win
300,2301,マイジャグラーⅣ／ＫＥ,-206,7287,30,10,lose
301,2302,スーパーミラクルジャグラー／ＫＵ,-1202,4687,15,11,lose
302,2303,スーパーミラクルジャグラー／ＫＵ,151,6096,22,16,win
303,2304,スーパーミラクルジャグラー／ＫＵ,2345,6997,31,27,win
304,2305,スーパーミラクルジャグラー／ＫＵ,815,5367,24,11,win
305,2306,スーパーミラクルジャグラー／ＫＵ,695,4802,21,9,win
306,2307,アイムジャグラーＥＸアニバーサリー／ＫＫ,483,1646,8,3,win
307,2308,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-928,5676,17,16,lose
308,2309,アイムジャグラーＥＸ－ＡＥ／ＫＴ,2445,5478,28,12,win
309,2310,アイムジャグラーＥＸ－ＡＥ／ＫＴ,3836,4321,26,18,win
310,2311,アイムジャグラーＥＸ－ＡＥ／ＫＴ,383,7152,26,21,win
311,2312,アイムジャグラーＥＸ－ＡＥ／ＫＴ,722,6767,26,22,win
312,2313,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1049,1919,4,6,lose
313,2314,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-182,3430,13,6,lose
314,2315,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1441,3950,9,15,lose
315,2316,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-749,1848,4,6,lose
316,2317,アイムジャグラーＥＸ－ＡＥ／ＫＴ,413,7184,28,22,win
317,2318,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1300,6683,25,26,win
318,2319,ゴーゴージャグラーＫＫ,-670,2563,8,6,lose
319,2320,ゴーゴージャグラーＫＫ,1012,7052,31,19,win
320,2321,ゴーゴージャグラーＫＫ,-75,5697,22,16,lose
321,2322,ゴーゴージャグラーＫＫ,88,5625,20,23,win
322,2323,ゴーゴージャグラーＫＫ,388,4591,17,16,win
323,2324,ゴーゴージャグラーＫＫ,-1031,2828,7,9,lose
324,2325,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1311,2952,7,8,lose
325,2326,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1875,3820,10,7,lose
326,2327,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1556,1800,3,3,lose
327,2328,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1851,5832,19,7,lose
328,2329,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-637,1724,5,3,lose
329,2330,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-2702,4194,8,8,lose
330,2331,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-1563,1900,2,3,lose
331,2332,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-579,2064,7,1,lose
332,2333,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-158,1994,8,2,lose
333,2334,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-235,5155,18,15,lose
334,2335,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-838,891,1,1,lose
335,2336,アイムジャグラーＥＸアニバーサリー／ＫＫ,400,8887,31,32,win
336,2337,スーパーミラクルジャグラー／ＫＵ,-207,2705,10,4,lose
