,number,model_name,slump,allStarts,bb,rb,judge
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,-6563,5814,18,0,lose
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-2002,4130,21,0,lose
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-430,3181,20,0,lose
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,740,3129,23,0,win
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,4494,3659,39,1,win
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,-1913,2680,12,1,lose
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-2607,1654,2,0,lose
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,7812,3756,51,2,win
8,2009,ＳスカイガールズＫＫ,-1549,2874,8,8,lose
9,2010,地獄少女　宵伽ＦＳＢ,-619,2872,27,0,lose
10,2011,ハイスクールオブザデッド／ＣＣ,-1782,4673,7,5,lose
11,2012,織田信奈の野望Ｓ,-191,2275,11,19,lose
12,2013,ブラックラグーンリミットブレイクＴ,-1748,2700,7,6,lose
13,2014,パチスロ閃乱カグラ／ＪＸ,584,7844,29,22,win
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-340,2106,10,17,lose
15,2016,Ｓパチスロラブ嬢２Ｌ２,67,7155,0,15,win
16,2017,Ｓパチスロラブ嬢２Ｌ２,-257,9511,0,16,lose
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,-930,5557,0,45,lose
18,2019,コードギアス反逆のルルーシュＲ２／ＺＸ,2099,7186,32,58,win
19,2020,麻雀格闘倶楽部２／ＫＡ,-1138,1729,0,0,lose
20,2021,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,-939,1785,0,5,lose
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-868,2681,12,0,lose
22,2023,ＳＬＯＴギルティクラウンＵＣ,-755,6837,19,50,lose
23,2024,ＳＬＯＴギルティクラウンＵＣ,2378,6803,18,74,win
24,2025,ＳＬＯＴギルティクラウンＵＣ,1705,8098,41,50,win
25,2026,ＳＬＯＴギルティクラウンＵＣ,4345,8138,38,83,win
26,2027,ＳＬＯＴギルティクラウンＵＣ,-3803,5250,13,18,lose
27,2028,ＳＬＯＴギルティクラウンＵＣ,-290,8401,24,67,lose
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1876,3347,0,0,lose
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-385,1858,0,0,lose
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1989,3076,0,0,lose
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-799,906,0,0,lose
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1185,7609,0,0,win
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1583,1568,0,0,lose
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-178,5937,0,0,lose
35,2036,戦国乙女２深淵に輝く気高き将星／Ｄ２,575,5885,44,16,win
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,-1389,4255,21,8,lose
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,1366,6529,52,21,win
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,-1309,3029,13,0,lose
39,2040,番長外伝　盗忍！剛衛門／Ａ８,78,3872,0,4,win
40,2041,番長外伝　盗忍！剛衛門／Ａ８,-768,2612,17,7,lose
41,2042,番長外伝　盗忍！剛衛門／Ａ８,2228,2682,35,6,win
42,2043,マジカルハロウィン５／ＫＡ,-1292,2379,14,0,lose
43,2044,マジカルハロウィン５／ＫＡ,1120,4755,30,0,win
44,2045,マジカルハロウィン５／ＫＡ,-1207,3142,13,0,lose
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,888,3413,40,12,win
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,-672,1121,5,2,lose
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-197,4876,51,19,lose
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,-89,91,0,0,lose
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,-313,2679,27,9,lose
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,1065,1580,30,3,win
51,2052,パチスロガールフレンド（仮）／Ｇ４,-1520,2460,14,12,lose
52,2053,パチスロガールフレンド（仮）／Ｇ４,-700,849,1,1,lose
53,2054,パチスロガールフレンド（仮）／Ｇ４,16,2827,16,7,win
54,2055,パチスロガールフレンド（仮）／Ｇ４,-1840,3128,18,15,lose
55,2056,パチスロガールフレンド（仮）／Ｇ４,2978,5135,48,21,win
56,2057,パチスロガールフレンド（仮）／Ｇ４,-854,1055,3,3,lose
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,5367,3911,65,81,win
58,2059,ＳＬＯＴバジリスクⅢＢＥ,-171,4413,46,5,lose
59,2060,ＳＬＯＴアカギ／ＤＡ,4182,3647,16,92,win
60,2061,ＳＬＯＴアカギ／ＤＡ,-1206,1937,3,18,lose
61,2062,モンスターハンター狂竜戦線／ＺＳ,-1040,1734,10,17,lose
62,2063,パチスロウルトラセブンＫＣ,-1913,2303,8,0,lose
63,2064,バイオハザードリベレーションズ／ＺＷ,-3200,5588,40,0,lose
64,2065,バイオハザードリベレーションズ／ＺＷ,-576,6434,44,0,lose
65,2066,Ｓリング　恐襲ノ連鎖　ＪＡ,2082,5088,40,17,win
66,2067,パチスロ亜人／Ａ３,1830,1236,10,8,win
