,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,,
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,,
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,,
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,,
4,2005,麻雀格闘倶楽部２／ＫＡ,,
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,,
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,,
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,,
8,2009,攻殻機動隊２／ＺＳ,,
9,2010,地獄少女　宵伽ＦＳＢ,,
10,2011,ハイスクールオブザデッド／ＣＣ,,
11,2012,織田信奈の野望Ｓ,,
12,2013,ブラックラグーンリミットブレイクＴ,,
13,2014,パチスロ閃乱カグラ／ＪＸ,,
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,,
15,2016,Ｓ　あのはな　ＺＭ,,
16,2017,結城友奈は勇者である／ＤＥ,,
17,2018,回胴性ミリオンアーサーＢＮ,,
18,2019,これはゾンビですか／ＫＡ,,
19,2020,マジカルハロウィン５／ＫＡ,,
20,2021,マジカルハロウィン５／ＫＡ,,
21,2022,マジカルハロウィン５／ＫＡ,,
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
23,2024,Ｓマジカルハロウィン７ＫＵ,,
24,2025,Ｓマジカルハロウィン７ＫＵ,,
25,2026,Ｓマジカルハロウィン７ＫＵ,,
26,2027,Ｓマジカルハロウィン７ＫＵ,,
27,2028,Ｓマジカルハロウィン７ＫＵ,,
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,,
35,2036,Ｓルパン三世イタリアの夢Ｈ５,,
36,2037,Ｓルパン三世イタリアの夢Ｈ５,,
37,2038,Ｓルパン三世イタリアの夢Ｈ５,,
38,2039,Ｓルパン三世イタリアの夢Ｈ５,,
39,2040,Ｓルパン三世イタリアの夢Ｈ５,,
40,2041,Ｓルパン三世イタリアの夢Ｈ５,,
41,2042,Ｓルパン三世イタリアの夢Ｈ５,,
42,2043,Ｓルパン三世イタリアの夢Ｈ５,,
43,2044,Ｓルパン三世イタリアの夢Ｈ５,,
44,2045,ルパン三世世界解剖／Ｋ１,,
45,2046,ＳＬＯＴギルティクラウンＵＣ,,
46,2047,ＳＬＯＴギルティクラウンＵＣ,,
47,2048,ＳＬＯＴギルティクラウンＵＣ,,
48,2049,ＳＬＯＴギルティクラウンＵＣ,,
49,2050,ＳＬＯＴギルティクラウンＵＣ,,
50,2051,ＳＬＯＴギルティクラウンＵＣ,,
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,,
52,2053,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,,
53,2054,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,,
54,2055,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,,
55,2056,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,,
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,,
57,2058,パチスロ　サクラ大戦　熱き血潮に／ＸＲ,,
58,2059,ケロロ軍曹／Ａ２,,
59,2060,パチスロ　戦場のヴァルキュリア／ＲＳ,,
60,2061,ＳＬＯＴアカギ／ＤＡ,,
61,2062,Ｓ　ＧⅠ優駿倶楽部２ＫＢ,,
62,2063,Ｓ　蒼天の拳ＡＡ　ＺＢ,,
63,2064,バイオハザードリベレーションズ／ＺＷ,,
64,2065,獣王　王者の覚醒／ＺＡ,,
65,2066,Ｓ猛獣王　王者の咆哮ＺＺ,,
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,,
67,2068,ＳＡＴ天元突破グレンラガンＹ,,
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,,
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,,
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,,
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,,
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,,
73,2074,Ｇ１優駿倶楽部／ＫＤ,,
74,2075,Ｇ１優駿倶楽部／ＫＤ,,
75,2076,Ｇ１優駿倶楽部／ＫＤ,,
76,2077,Ｇ１優駿倶楽部／ＫＤ,,
77,2078,Ｇ１優駿倶楽部／ＫＤ,,
78,2079,Ｓ呪怨　再誕ＡＴ　ＦＣ,,
79,2080,Ｓ呪怨　再誕ＡＴ　ＦＣ,,
80,2081,パチスロリング　ノロイノナノカカンＦＳＢ,,
81,2082,パチスロリング　ノロイノナノカカンＦＳＢ,,
82,2083,Ｓトータル・イクリプス２Ｒ,,
83,2084,Ｓ喰霊零　運命乱ＪＪ,,
84,2085,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,,
85,2086,パチスロマクロスフロンティア２Ｇ,,
86,2087,パチスロマクロスフロンティア２Ｇ,,
87,2088,サラリーマン金太郎　出世回胴編ＸＦ,,
88,2089,シンデレラ×ブレイド２ＮＤ,,
89,2090,やじきた道中記乙ＭＤ,,
90,2091,やじきた道中記乙ＭＤ,,
91,2092,やじきた道中記乙ＭＤ,,
92,2093,乙女魂ＪＶ,,
93,2094,モンキーターン２ＴＴ,,
94,2095,緑ドンＶＩＶＡ２ＭＲ,,
95,2096,サムライチャンプルー流転輪廻Ｘ,,
96,2097,パチスロバーストエンジェルＥＥ,,
97,2098,パチスロ　修羅の刻Ａ,,
98,2099,戦国コレクション２ＫＳ,,
99,2100,戦国コレクション２ＫＳ,,
100,2101,パチスロ黄門ちゃま喝Ｄ１,,
101,2102,パチスロ黄門ちゃま喝Ｄ１,,
102,2103,パチスロ黄門ちゃま喝Ｄ１,,
103,2104,パチスロ黄門ちゃま喝Ｄ１,,
104,2105,パチスロゴッドイーターＣＣ,,
105,2106,パチスロゴッドイーターＣＣ,,
106,2107,Ｓ闘魂継承アントニオ猪木Ｌ３,,
107,2108,Ｓ闘魂継承アントニオ猪木Ｌ３,,
108,2109,Ｓ闘魂継承アントニオ猪木Ｌ３,,
109,2110,Ｓガールズ＆パンツァーＧ／ＬＡ１,,
110,2111,Ｓガールズ＆パンツァーＧ／ＬＡ１,,
111,2112,Ｓガールズ＆パンツァーＧ／ＬＡ１,,
112,2113,Ｓガールズ＆パンツァーＧ／ＬＡ１,,
113,2114,Ｓガールズ＆パンツァーＧ／ＬＡ１,,
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,,
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,,
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,,
123,2124,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,,
124,2125,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,,
125,2126,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,,
126,2127,政宗２／Ａ５,,
127,2128,政宗２／Ａ５,,
128,2129,政宗２／Ａ５,,
129,2130,政宗２／Ａ５,,
130,2131,パチスロ鉄拳３ＥＥ,,
131,2132,パチスロ鉄拳３ＥＥ,,
132,2133,Ｓパチスロ鉄拳４ＣＣ,,
133,2134,Ｓパチスロ鉄拳４ＣＣ,,
134,2135,Ｓパチスロ鉄拳４ＣＣ,,
135,2136,パチスロ笑ゥせぇるすまん３ＫＪ,,
136,2137,パチスロ笑ゥせぇるすまん３ＫＪ,,
137,2138,パチスロ笑ゥせぇるすまん３ＫＪ,,
138,2139,パチスロ笑ゥせぇるすまん３ＫＪ,,
139,2140,パチスロ笑ゥせぇるすまん３ＫＪ,,
140,2141,パチスロ笑ゥせぇるすまん３ＫＪ,,
141,2142,Ｓ天下布武４ＨＨ,,
142,2143,Ｓ天下布武４ＨＨ,,
143,2144,Ｓ天下布武４ＨＨ,,
144,2145,Ｓ天下布武４ＨＨ,,
145,2146,Ｓ天下布武４ＨＨ,,
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,,
