,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,-1941,4978
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1041,4918
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-433,3441
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-89,3492
4,2005,麻雀格闘倶楽部２／ＫＡ,-2297,4161
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,-915,5160
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,-344,3812
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,496,5679
8,2009,攻殻機動隊２／ＺＳ,267,4332
9,2010,地獄少女　宵伽ＦＳＢ,-382,3905
10,2011,ハイスクールオブザデッド／ＣＣ,477,6185
11,2012,織田信奈の野望Ｓ,-1539,2090
12,2013,ブラックラグーンリミットブレイクＴ,-1974,5449
13,2014,パチスロ閃乱カグラ／ＪＸ,-3946,4814
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,1480,7510
15,2016,Ｓ　あのはな　ＺＭ,-444,949
16,2017,結城友奈は勇者である／ＤＥ,-2027,3278
17,2018,回胴性ミリオンアーサーＢＮ,886,4902
18,2019,これはゾンビですか／ＫＡ,-45,4013
19,2020,マジカルハロウィン５／ＫＡ,-1910,7361
20,2021,マジカルハロウィン５／ＫＡ,-2046,5262
21,2022,マジカルハロウィン５／ＫＡ,119,7333
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2450,2403
23,2024,Ｓマジカルハロウィン７ＫＵ,1186,7350
24,2025,Ｓマジカルハロウィン７ＫＵ,-418,7494
25,2026,Ｓマジカルハロウィン７ＫＵ,-348,8251
26,2027,Ｓマジカルハロウィン７ＫＵ,-1424,7111
27,2028,Ｓマジカルハロウィン７ＫＵ,4632,9308
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2137,5391
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,499,8406
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,252,8294
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,735,7013
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4189,9756
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2480,6437
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1149,5066
35,2036,Ｓルパン三世イタリアの夢Ｈ５,-1159,4515
36,2037,Ｓルパン三世イタリアの夢Ｈ５,1378,8884
37,2038,Ｓルパン三世イタリアの夢Ｈ５,-1974,5250
38,2039,Ｓルパン三世イタリアの夢Ｈ５,-331,3967
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-58,5845
40,2041,Ｓルパン三世イタリアの夢Ｈ５,526,4246
41,2042,Ｓルパン三世イタリアの夢Ｈ５,-2873,5985
