,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,2920,5906
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-855,590
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,466,2482
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-703,920
4,2005,麻雀格闘倶楽部２／ＫＡ,321,3086
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,-269,6825
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,808,4465
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,234,1426
8,2009,攻殻機動隊２／ＺＳ,4120,2992
9,2010,地獄少女　宵伽ＦＳＢ,26,1661
10,2011,ハイスクールオブザデッド／ＣＣ,-533,3457
11,2012,織田信奈の野望Ｓ,52,2088
12,2013,ブラックラグーンリミットブレイクＴ,1181,2281
13,2014,パチスロ閃乱カグラ／ＪＸ,3290,6951
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-896,1179
15,2016,Ｓ　あのはな　ＺＭ,-692,2841
16,2017,結城友奈は勇者である／ＤＥ,620,2066
17,2018,回胴性ミリオンアーサーＢＮ,-1580,2526
18,2019,これはゾンビですか／ＫＡ,-1138,1299
19,2020,マジカルハロウィン５／ＫＡ,1522,3972
20,2021,マジカルハロウィン５／ＫＡ,-2259,5029
21,2022,マジカルハロウィン５／ＫＡ,-881,5905
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-756,1919
23,2024,Ｓマジカルハロウィン７ＫＵ,1793,8344
24,2025,Ｓマジカルハロウィン７ＫＵ,1998,7857
25,2026,Ｓマジカルハロウィン７ＫＵ,-122,7218
26,2027,Ｓマジカルハロウィン７ＫＵ,1717,9545
27,2028,Ｓマジカルハロウィン７ＫＵ,-2714,5863
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-444,6817
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-404,4969
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-491,4877
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,3603,5430
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2324,2399
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-259,6315
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4613,9320
35,2036,Ｓルパン三世イタリアの夢Ｈ５,-10,5826
36,2037,Ｓルパン三世イタリアの夢Ｈ５,1033,5334
37,2038,Ｓルパン三世イタリアの夢Ｈ５,756,7202
38,2039,Ｓルパン三世イタリアの夢Ｈ５,-694,4229
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-401,6364
40,2041,Ｓルパン三世イタリアの夢Ｈ５,1103,3431
41,2042,Ｓルパン三世イタリアの夢Ｈ５,3976,9124
42,2043,Ｓルパン三世イタリアの夢Ｈ５,-597,7428
43,2044,Ｓルパン三世イタリアの夢Ｈ５,-2710,5679
44,2045,ルパン三世世界解剖／Ｋ１,134,4041
45,2046,ＳＬＯＴギルティクラウンＵＣ,1433,8097
46,2047,ＳＬＯＴギルティクラウンＵＣ,-675,8681
47,2048,ＳＬＯＴギルティクラウンＵＣ,-3756,6191
48,2049,ＳＬＯＴギルティクラウンＵＣ,-2958,3870
49,2050,ＳＬＯＴギルティクラウンＵＣ,8487,8016
50,2051,ＳＬＯＴギルティクラウンＵＣ,-1750,3232
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-641,2840
