,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,5049,5604
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-2860,2839
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,2095,2135
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-770,1907
4,2005,麻雀格闘倶楽部２／ＫＡ,2542,2275
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,-2630,3121
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,-61,2532
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,1706,1567
8,2009,攻殻機動隊２／ＺＳ,-614,693
9,2010,地獄少女　宵伽ＦＳＢ,942,3598
10,2011,ハイスクールオブザデッド／ＣＣ,2840,4323
11,2012,織田信奈の野望Ｓ,2573,787
12,2013,ブラックラグーンリミットブレイクＴ,2332,4803
13,2014,パチスロ閃乱カグラ／ＪＸ,260,2161
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,4288,3655
15,2016,Ｓ　あのはな　ＺＭ,309,1871
16,2017,結城友奈は勇者である／ＤＥ,-615,1068
17,2018,回胴性ミリオンアーサーＢＮ,7,4161
18,2019,これはゾンビですか／ＫＡ,-60,1263
19,2020,マジカルハロウィン５／ＫＡ,-985,1010
20,2021,マジカルハロウィン５／ＫＡ,11,3410
21,2022,マジカルハロウィン５／ＫＡ,-1072,1388
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-529,1574
23,2024,Ｓマジカルハロウィン７ＫＵ,-1389,2180
24,2025,Ｓマジカルハロウィン７ＫＵ,803,5838
25,2026,Ｓマジカルハロウィン７ＫＵ,-633,861
26,2027,Ｓマジカルハロウィン７ＫＵ,-730,3246
27,2028,Ｓマジカルハロウィン７ＫＵ,-431,4427
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,6501,10022
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-139,640
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1095,4200
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1387,5415
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,139,1433
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1659,3719
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,116,2360
35,2036,Ｓルパン三世イタリアの夢Ｈ５,1583,4915
36,2037,Ｓルパン三世イタリアの夢Ｈ５,-3,3757
37,2038,Ｓルパン三世イタリアの夢Ｈ５,145,3097
38,2039,Ｓルパン三世イタリアの夢Ｈ５,-229,3999
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-1954,3703
40,2041,Ｓルパン三世イタリアの夢Ｈ５,-509,1959
41,2042,Ｓルパン三世イタリアの夢Ｈ５,27,7614
42,2043,Ｓルパン三世イタリアの夢Ｈ５,-3073,3909
43,2044,Ｓルパン三世イタリアの夢Ｈ５,-1129,2144
44,2045,ルパン三世世界解剖／Ｋ１,220,2130
45,2046,ＳＬＯＴギルティクラウンＵＣ,-3667,3811
46,2047,ＳＬＯＴギルティクラウンＵＣ,-1679,1644
47,2048,ＳＬＯＴギルティクラウンＵＣ,-1366,6660
48,2049,ＳＬＯＴギルティクラウンＵＣ,-1178,1137
49,2050,ＳＬＯＴギルティクラウンＵＣ,736,6117
50,2051,ＳＬＯＴギルティクラウンＵＣ,3654,9739
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-684,1966
52,2053,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-1178,1793
53,2054,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-564,2091
54,2055,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-908,1907
55,2056,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-1282,5443
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,-1679,3873
57,2058,パチスロ　サクラ大戦　熱き血潮に／ＸＲ,-781,1090
58,2059,ケロロ軍曹／Ａ２,-284,251
59,2060,パチスロ　戦場のヴァルキュリア／ＲＳ,-465,1178
60,2061,ＳＬＯＴアカギ／ＤＡ,51,2169
61,2062,Ｓ　ＧⅠ優駿倶楽部２ＫＢ,-451,1264
62,2063,Ｓ　蒼天の拳ＡＡ　ＺＢ,549,301
63,2064,バイオハザードリベレーションズ／ＺＷ,1118,3640
64,2065,獣王　王者の覚醒／ＺＡ,-358,236
65,2066,Ｓ猛獣王　王者の咆哮ＺＺ,404,1158
66,2067,ＳヱヴァンゲリヲンＡＴ７７７Ｆ,-64,65
67,2068,ＳＡＴ天元突破グレンラガンＹ,147,2704
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-404,925
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,-560,1822
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,638,1240
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,111,262
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,3826,3192
73,2074,Ｇ１優駿倶楽部／ＫＤ,-1191,1979
74,2075,Ｇ１優駿倶楽部／ＫＤ,561,748
75,2076,Ｇ１優駿倶楽部／ＫＤ,-357,535
76,2077,Ｇ１優駿倶楽部／ＫＤ,-189,319
77,2078,Ｇ１優駿倶楽部／ＫＤ,-66,32
78,2079,Ｓ呪怨　再誕ＡＴ　ＦＣ,892,2830
79,2080,Ｓ呪怨　再誕ＡＴ　ＦＣ,-899,1077
80,2081,パチスロリング　ノロイノナノカカンＦＳＢ,-3891,3500
81,2082,パチスロリング　ノロイノナノカカンＦＳＢ,-1654,1329
82,2083,Ｓトータル・イクリプス２Ｒ,-719,5493
83,2084,Ｓ喰霊零　運命乱ＪＪ,2149,4216
84,2085,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,-1941,4567
85,2086,パチスロマクロスフロンティア２Ｇ,-206,205
86,2087,パチスロマクロスフロンティア２Ｇ,-453,3448
87,2088,サラリーマン金太郎　出世回胴編ＸＦ,-2548,3339
88,2089,シンデレラ×ブレイド２ＮＤ,-5,3281
89,2090,やじきた道中記乙ＭＤ,324,1255
90,2091,やじきた道中記乙ＭＤ,-207,3690
91,2092,やじきた道中記乙ＭＤ,-374,294
92,2093,乙女魂ＪＶ,2335,2067
93,2094,モンキーターン２ＴＴ,-3840,3235
94,2095,緑ドンＶＩＶＡ２ＭＲ,-1182,1898
95,2096,サムライチャンプルー流転輪廻Ｘ,813,618
96,2097,パチスロバーストエンジェルＥＥ,3794,1654
97,2098,パチスロ　修羅の刻Ａ,2520,3682
98,2099,戦国コレクション２ＫＳ,-1330,1185
99,2100,戦国コレクション２ＫＳ,-276,2923
100,2101,パチスロ黄門ちゃま喝Ｄ１,-890,3380
101,2102,パチスロ黄門ちゃま喝Ｄ１,-607,1060
102,2103,パチスロ黄門ちゃま喝Ｄ１,3827,1459
103,2104,パチスロ黄門ちゃま喝Ｄ１,,
104,2105,パチスロゴッドイーターＣＣ,-2112,3089
105,2106,パチスロゴッドイーターＣＣ,4453,3750
106,2107,Ｓ闘魂継承アントニオ猪木Ｌ３,-38,1216
107,2108,Ｓ闘魂継承アントニオ猪木Ｌ３,-715,1425
108,2109,Ｓ闘魂継承アントニオ猪木Ｌ３,-1346,2135
109,2110,Ｓガールズ＆パンツァーＧ／ＬＡ１,698,1217
110,2111,Ｓガールズ＆パンツァーＧ／ＬＡ１,268,948
111,2112,Ｓガールズ＆パンツァーＧ／ＬＡ１,123,944
112,2113,Ｓガールズ＆パンツァーＧ／ＬＡ１,-273,1034
113,2114,Ｓガールズ＆パンツァーＧ／ＬＡ１,197,2905
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1984,5526
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,1740,1863
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,-926,2509
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1531,3992
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-470,810
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,2634,4924
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,1240,1816
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-117,167
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,160,1422
123,2124,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-152,1805
124,2125,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-756,1921
125,2126,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-696,644
126,2127,政宗２／Ａ５,-805,763
127,2128,政宗２／Ａ５,-978,1677
128,2129,政宗２／Ａ５,-1336,1730
129,2130,政宗２／Ａ５,-1252,1435
130,2131,パチスロ鉄拳３ＥＥ,-3952,3890
131,2132,パチスロ鉄拳３ＥＥ,-910,1079
132,2133,Ｓパチスロ鉄拳４ＣＣ,-253,2097
133,2134,Ｓパチスロ鉄拳４ＣＣ,-29,469
134,2135,Ｓパチスロ鉄拳４ＣＣ,-194,282
135,2136,パチスロ笑ゥせぇるすまん３ＫＪ,-885,1550
136,2137,パチスロ笑ゥせぇるすまん３ＫＪ,60,2559
137,2138,パチスロ笑ゥせぇるすまん３ＫＪ,-116,199
138,2139,パチスロ笑ゥせぇるすまん３ＫＪ,-963,3800
139,2140,パチスロ笑ゥせぇるすまん３ＫＪ,-1006,851
140,2141,パチスロ笑ゥせぇるすまん３ＫＪ,-34,1973
141,2142,Ｓ天下布武４ＨＨ,-45,2921
142,2143,Ｓ天下布武４ＨＨ,125,2505
143,2144,Ｓ天下布武４ＨＨ,16,1632
144,2145,Ｓ天下布武４ＨＨ,3007,5283
145,2146,Ｓ天下布武４ＨＨ,2150,3246
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1019,2702
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,12896,2692
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,589,2820
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1920,2739
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,1045,4843
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,,
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-212,1545
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1316,1426
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,344,1524
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1241,1297
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,849,3117
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-24,1378
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-49,32
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-244,1565
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2716,2297
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,297,1178
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-47,33
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2754,2401
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-720,760
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-928,1133
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1562,1590
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,90,1241
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-607,772
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-114,66
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,292,1348
