,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,-1787,1405
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1942,1174
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-309,548
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,2740,1208
4,2005,麻雀格闘倶楽部２／ＫＡ,-92,59
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,-3794,5476
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,-422,3113
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,-275,2242
8,2009,攻殻機動隊２／ＺＳ,-1554,3201
9,2010,地獄少女　宵伽ＦＳＢ,3371,1679
10,2011,ハイスクールオブザデッド／ＣＣ,-3567,3430
11,2012,織田信奈の野望Ｓ,-1384,2484
12,2013,ブラックラグーンリミットブレイクＴ,-384,883
13,2014,パチスロ閃乱カグラ／ＪＸ,912,5046
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-1100,1842
15,2016,Ｓ　あのはな　ＺＭ,1618,1004
16,2017,結城友奈は勇者である／ＤＥ,530,1909
17,2018,回胴性ミリオンアーサーＢＮ,-852,1610
18,2019,これはゾンビですか／ＫＡ,-419,846
19,2020,マジカルハロウィン５／ＫＡ,-2246,4404
20,2021,マジカルハロウィン５／ＫＡ,-1878,3633
21,2022,マジカルハロウィン５／ＫＡ,-2331,4966
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,432,850
23,2024,Ｓマジカルハロウィン７ＫＵ,-396,8336
24,2025,Ｓマジカルハロウィン７ＫＵ,-1911,5311
25,2026,Ｓマジカルハロウィン７ＫＵ,-1230,8277
26,2027,Ｓマジカルハロウィン７ＫＵ,535,5821
27,2028,Ｓマジカルハロウィン７ＫＵ,-911,7200
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,57,2731
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-348,1571
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1285,1248
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,983,4894
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1012,1118
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-433,2179
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-648,2113
35,2036,Ｓルパン三世イタリアの夢Ｈ５,-1249,4137
36,2037,Ｓルパン三世イタリアの夢Ｈ５,-650,1745
37,2038,Ｓルパン三世イタリアの夢Ｈ５,158,3022
38,2039,Ｓルパン三世イタリアの夢Ｈ５,-1478,4862
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-572,3508
40,2041,Ｓルパン三世イタリアの夢Ｈ５,660,1815
41,2042,Ｓルパン三世イタリアの夢Ｈ５,708,3817
42,2043,Ｓルパン三世イタリアの夢Ｈ５,-706,4072
43,2044,Ｓルパン三世イタリアの夢Ｈ５,-298,3353
44,2045,ルパン三世世界解剖／Ｋ１,-1761,1944
45,2046,ＳＬＯＴギルティクラウンＵＣ,-4622,4171
46,2047,ＳＬＯＴギルティクラウンＵＣ,2054,5298
47,2048,ＳＬＯＴギルティクラウンＵＣ,265,7414
48,2049,ＳＬＯＴギルティクラウンＵＣ,1767,7400
49,2050,ＳＬＯＴギルティクラウンＵＣ,563,6409
50,2051,ＳＬＯＴギルティクラウンＵＣ,-2259,5058
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-634,633
52,2053,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-503,820
53,2054,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-633,383
54,2055,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-553,665
55,2056,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-628,1199
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,-2253,4714
57,2058,パチスロ　サクラ大戦　熱き血潮に／ＸＲ,2517,2886
58,2059,ケロロ軍曹／Ａ２,-477,1264
59,2060,パチスロ　戦場のヴァルキュリア／ＲＳ,-8,1392
60,2061,ＳＬＯＴアカギ／ＤＡ,6181,693
61,2062,Ｓ　ＧⅠ優駿倶楽部２ＫＢ,1587,2031
62,2063,Ｓ　蒼天の拳ＡＡ　ＺＢ,129,287
63,2064,バイオハザードリベレーションズ／ＺＷ,-917,4909
64,2065,獣王　王者の覚醒／ＺＡ,-351,185
65,2066,Ｓ猛獣王　王者の咆哮ＺＺ,-408,581
