,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,-802,1311
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-901,1119
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-58,2094
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1010,1077
4,2005,麻雀格闘倶楽部２／ＫＡ,-608,1253
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,2209,3458
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,-219,1402
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,-849,1331
8,2009,攻殻機動隊２／ＺＳ,179,4452
9,2010,地獄少女　宵伽ＦＳＢ,-290,2260
10,2011,ハイスクールオブザデッド／ＣＣ,-387,2923
11,2012,織田信奈の野望Ｓ,-14,1639
12,2013,ブラックラグーンリミットブレイクＴ,-1774,6889
13,2014,パチスロ閃乱カグラ／ＪＸ,1180,4193
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,170,1593
15,2016,Ｓ　あのはな　ＺＭ,105,82
16,2017,結城友奈は勇者である／ＤＥ,-182,283
17,2018,回胴性ミリオンアーサーＢＮ,1377,3926
18,2019,これはゾンビですか／ＫＡ,-1302,5509
19,2020,マジカルハロウィン５／ＫＡ,-845,3752
20,2021,マジカルハロウィン５／ＫＡ,1736,4220
21,2022,マジカルハロウィン５／ＫＡ,-1933,3601
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1209,906
23,2024,Ｓマジカルハロウィン７ＫＵ,1510,3651
24,2025,Ｓマジカルハロウィン７ＫＵ,-839,2015
25,2026,Ｓマジカルハロウィン７ＫＵ,-349,645
26,2027,Ｓマジカルハロウィン７ＫＵ,-458,807
27,2028,Ｓマジカルハロウィン７ＫＵ,3462,6583
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,615,6140
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,287,1137
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1101,906
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1419,2090
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,630,4151
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1082,2123
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1287,839
35,2036,Ｓルパン三世イタリアの夢Ｈ５,1659,3147
36,2037,Ｓルパン三世イタリアの夢Ｈ５,-373,757
37,2038,Ｓルパン三世イタリアの夢Ｈ５,-2,1
38,2039,Ｓルパン三世イタリアの夢Ｈ５,342,7980
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-2,1
40,2041,Ｓルパン三世イタリアの夢Ｈ５,-1475,2160
41,2042,Ｓルパン三世イタリアの夢Ｈ５,-247,2659
42,2043,Ｓルパン三世イタリアの夢Ｈ５,974,4128
43,2044,Ｓルパン三世イタリアの夢Ｈ５,300,3571
44,2045,ルパン三世世界解剖／Ｋ１,87,1269
45,2046,ＳＬＯＴギルティクラウンＵＣ,3597,7802
46,2047,ＳＬＯＴギルティクラウンＵＣ,-344,1843
47,2048,ＳＬＯＴギルティクラウンＵＣ,809,2062
48,2049,ＳＬＯＴギルティクラウンＵＣ,3422,7625
49,2050,ＳＬＯＴギルティクラウンＵＣ,-125,3670
50,2051,ＳＬＯＴギルティクラウンＵＣ,690,6993
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-464,1141
52,2053,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,622,9816
53,2054,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,703,6175
54,2055,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-393,4136
55,2056,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-555,1194
56,2057,コードギアス反逆のルルーシュＲ２／ＺＸ,2244,4662
57,2058,パチスロ　サクラ大戦　熱き血潮に／ＸＲ,-558,1636
58,2059,ケロロ軍曹／Ａ２,545,4808
