,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,-3371,3095
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1380,1070
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-423,1953
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-689,1389
4,2005,麻雀格闘倶楽部２／ＫＡ,-631,809
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,9074,3311
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,1126,4360
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,-804,856
8,2009,攻殻機動隊２／ＺＳ,533,2550
9,2010,地獄少女　宵伽ＦＳＢ,-1405,1531
10,2011,ハイスクールオブザデッド／ＣＣ,-561,3684
11,2012,織田信奈の野望Ｓ,-97,1580
12,2013,ブラックラグーンリミットブレイクＴ,-1173,1577
13,2014,パチスロ閃乱カグラ／ＪＸ,4868,6542
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-718,1801
15,2016,Ｓ　あのはな　ＺＭ,494,3673
16,2017,結城友奈は勇者である／ＤＥ,789,5008
17,2018,回胴性ミリオンアーサーＢＮ,-546,1320
18,2019,これはゾンビですか／ＫＡ,-1691,2050
19,2020,マジカルハロウィン５／ＫＡ,2670,5894
20,2021,マジカルハロウィン５／ＫＡ,-236,7533
21,2022,マジカルハロウィン５／ＫＡ,94,6737
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2425,1642
23,2024,Ｓマジカルハロウィン７ＫＵ,232,6742
24,2025,Ｓマジカルハロウィン７ＫＵ,633,5501
25,2026,Ｓマジカルハロウィン７ＫＵ,1132,7847
26,2027,Ｓマジカルハロウィン７ＫＵ,-55,7115
27,2028,Ｓマジカルハロウィン７ＫＵ,-593,4441
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1449,9042
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1115,799
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1501,5659
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1303,1289
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2474,1703
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1510,1437
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1813,6337
35,2036,Ｓルパン三世イタリアの夢Ｈ５,42,3459
36,2037,Ｓルパン三世イタリアの夢Ｈ５,3233,8564
37,2038,Ｓルパン三世イタリアの夢Ｈ５,-1443,4194
38,2039,Ｓルパン三世イタリアの夢Ｈ５,880,5180
39,2040,Ｓルパン三世イタリアの夢Ｈ５,-193,5206
40,2041,Ｓルパン三世イタリアの夢Ｈ５,584,3947
41,2042,Ｓルパン三世イタリアの夢Ｈ５,969,8539
42,2043,Ｓルパン三世イタリアの夢Ｈ５,-833,7805
43,2044,Ｓルパン三世イタリアの夢Ｈ５,-763,6605
44,2045,ルパン三世世界解剖／Ｋ１,-169,1976
45,2046,ＳＬＯＴギルティクラウンＵＣ,-675,7233
46,2047,ＳＬＯＴギルティクラウンＵＣ,2388,8486
47,2048,ＳＬＯＴギルティクラウンＵＣ,-607,4791
48,2049,ＳＬＯＴギルティクラウンＵＣ,1116,4093
49,2050,ＳＬＯＴギルティクラウンＵＣ,-1926,2311
50,2051,ＳＬＯＴギルティクラウンＵＣ,-2334,5397
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,5633,8615
