,number,model_name,slump,allStarts,bb,rb
365,2366,リノＮＧＴＣＣ,-43,430,3,1
366,2367,リノＮＧＴＣＣ,-189,116,0,0
367,2368,ディスクアップ／ＺＳ,-670,671,0,0
368,2369,ディスクアップ／ＺＳ,1760,3244,14,9
369,2370,アレックスＡＥ,-1014,1468,2,4
370,2371,ディスクアップ／ＺＳ,2005,6369,27,10
371,2372,アレックスＡＥ,-875,1022,1,2
372,2373,ディスクアップ／ＺＳ,-924,4419,11,12
373,2374,ディスクアップ／ＺＳ,-196,316,1,0
374,2375,ディスクアップ／ＺＳ,2118,10921,42,19
375,2376,ディスクアップ／ＺＳ,-1171,3460,8,7
376,2377,ディスクアップ／ＺＳ,-947,2160,6,3
377,2378,ディスクアップ／ＺＳ,364,2264,8,6
378,2379,ディスクアップ／ＺＳ,2607,9031,32,24
379,2380,ディスクアップ／ＺＳ,-342,905,3,0
380,2381,ディスクアップ／ＺＳ,3189,8340,38,15
381,2382,ハナビＢＨＳ２,-1687,2663,4,4
382,2383,ハナビＢＨＳ２,-467,891,2,1
383,2384,ハナビＢＨＳ２,-455,1135,3,2
384,2385,ハナビＢＨＳ２,303,2791,8,9
385,2386,ハナビＢＨＳ２,-5,6161,21,11
386,2387,バーサスＳＥ,-379,1508,5,1
387,2388,バーサスＳＥ,327,1893,8,1
388,2389,バーサスＳＥ,-809,3999,10,11
389,2390,バーサスＳＥ,-1152,1376,2,2
390,2391,バーサスＳＥ,-678,5585,17,13
391,2392,Ｓ麻雀格闘倶楽部３ＫＲ,-38,981,8,4
392,2393,Ｓ喰霊零　運命乱ＪＪ,-685,1051,5,5
393,2394,Ｓトータル・イクリプス２Ｒ,-229,217,0,0
394,2395,パチスロ黒神／Ｋ２,-1444,2066,15,6
395,2396,ＳＡＴ天元突破グレンラガンＹ,426,463,0,4
396,2397,ＳミルキィホームズＮＤ,-246,706,4,1
397,2398,バイオイントゥザパニック／ＺＡ,595,2257,12,5
398,2399,パチスロマッハＧｏＧｏＧｏ　Ａ,1786,2443,13,0
399,2400,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-261,808,2,2
400,2401,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,-954,1346,2,0
401,2402,３×３ＥＹＥＳ／Ａ７,-107,114,0,0
402,2403,ダンまち／ＫＴ,351,975,5,22
403,2404,ダンまち／ＫＴ,-219,371,1,0
404,2405,Ｓ　ＰＹＲＡＭＩＤ　ＥＹＥ　Ａ２,125,568,9,6
405,2406,Ｓパチスロ鉄拳４ＣＣ,-150,205,0,0
406,2407,Ｓパチスロ鉄拳４ＣＣ,-245,180,0,0
407,2408,Ｓ呪怨　再誕ＡＴ　ＦＣ,439,1183,10,0
408,2409,Ｓ／ドンちゃん２／ＤＣ,-487,1401,1,7
409,2410,Ｓ／ドンちゃん２／ＤＣ,-616,1563,4,3
410,2411,Ｓ／ドンちゃん２／ＤＣ,-331,4580,15,15
411,2412,Ｓ／ドンちゃん２／ＤＣ,-400,2164,8,2
412,2413,ハナビ２ＨＡ,-230,504,1,0
413,2414,ハナビ２ＨＡ,108,4744,11,19
414,2415,ハナビ２ＨＡ,-692,1001,1,4
415,2416,ハナビ２ＨＡ,120,672,3,0
416,2417,ハナビＢＨＳ２,-959,3609,10,9
417,2418,ハナビＢＨＳ２,-785,531,0,1
418,2419,ハナビＢＨＳ２,-230,1258,1,4
419,2420,ハナビＢＨＳ２,291,1178,5,3
420,2421,ハナビＢＨＳ２,1235,7993,32,13
421,2422,沖ドキ！ＬＬ,2388,2914,36,16
422,2423,沖ドキ！ＬＬ,-751,3330,26,10
423,2424,沖ドキ！ＬＬ,-1598,3602,25,9
424,2425,沖ドキ！ＬＬ,-226,2935,27,1
425,2426,沖ドキ！ＬＬ,-306,2669,20,14
426,2427,沖ドキ！ＬＬ,-140,2082,18,4
427,2428,沖ドキ！ＬＬ,4465,835,27,6
428,2429,沖ドキ！ＬＬ,-2454,1876,6,4
429,2430,沖ドキ！ＬＬ,1103,4529,46,15
430,2431,ミリオンゴッド－神々の凱旋－ＢＤ,4687,425,20,0
431,2432,ミリオンゴッド－神々の凱旋－ＢＤ,-831,663,0,0
432,2433,ミリオンゴッド－神々の凱旋－ＢＤ,1350,2610,23,0
433,2434,ミリオンゴッド－神々の凱旋－ＢＤ,-772,707,2,0
434,2435,ミリオンゴッド－神々の凱旋－ＢＤ,508,800,7,1
435,2436,ミリオンゴッド－神々の凱旋－ＢＤ,3473,3477,0,2
436,2437,ミリオンゴッド－神々の凱旋－ＢＤ,-815,1132,4,0
437,2438,ミリオンゴッド－神々の凱旋－ＢＤ,-566,6372,0,1
438,2439,ミリオンゴッド－神々の凱旋－ＢＤ,-2711,6661,5,0
439,2440,ミリオンゴッド－神々の凱旋－ＢＤ,-3267,2027,3,0
440,2441,ミリオンゴッド－神々の凱旋－ＢＤ,595,1750,14,1
441,2442,ミリオンゴッド－神々の凱旋－ＢＤ,1579,3510,29,1
442,2443,ミリオンゴッド－神々の凱旋－ＢＤ,101,1813,12,1
443,2444,ミリオンゴッド－神々の凱旋－ＢＤ,-846,1671,8,0
444,2445,ミリオンゴッド－神々の凱旋－ＢＤ,-408,328,1,0
445,2446,ミリオンゴッド－神々の凱旋－ＢＤ,-1917,3528,19,0
446,2447,ミリオンゴッド－神々の凱旋－ＢＤ,-2570,3624,15,1
447,2448,ミリオンゴッド－神々の凱旋－ＢＤ,-1432,922,1,0
448,2449,ミリオンゴッド－神々の凱旋－ＢＤ,2984,1976,9,2
449,2450,ミリオンゴッド－神々の凱旋－ＢＤ,-3311,2458,6,0
450,2451,ミリオンゴッド－神々の凱旋－ＢＤ,-1324,1008,3,0
451,2452,ミリオンゴッド－神々の凱旋－ＢＤ,-3039,1739,2,0
452,2453,ミリオンゴッド－神々の凱旋－ＢＤ,-636,644,3,0
453,2454,ミリオンゴッド－神々の凱旋－ＢＤ,-6058,4738,11,0
454,2455,ミリオンゴッド－神々の凱旋－ＢＤ,-3056,2186,5,0
455,2456,ミリオンゴッド－神々の凱旋－ＢＤ,-747,1265,8,0
456,2457,ミリオンゴッド－神々の凱旋－ＢＤ,5079,3053,38,0
457,2458,ミリオンゴッド－神々の凱旋－ＢＤ,-231,117,0,0
458,2459,ミリオンゴッド－神々の凱旋－ＢＤ,-2616,2080,0,0
459,2460,ミリオンゴッド－神々の凱旋－ＢＤ,2873,1283,18,0
460,2461,ミリオンゴッド－神々の凱旋－ＢＤ,-2738,2911,0,0
461,2462,ミリオンゴッド－神々の凱旋－ＢＤ,-126,757,5,1
462,2463,ミリオンゴッド－神々の凱旋－ＢＤ,638,3140,23,0
463,2464,ミリオンゴッド－神々の凱旋－ＢＤ,1969,573,11,0
464,2465,ミリオンゴッド－神々の凱旋－ＢＤ,776,1181,10,0
465,2466,ミリオンゴッド－神々の凱旋－ＢＤ,-1787,8336,1,0
466,2467,ミリオンゴッド－神々の凱旋－ＢＤ,506,1743,13,1
467,2468,ミリオンゴッド－神々の凱旋－ＢＤ,-1054,1861,9,1
468,2469,ミリオンゴッド－神々の凱旋－ＢＤ,-2227,1762,4,0
469,2470,沖ドキ！トロピカルＨＨ,2797,705,13,13
470,2471,沖ドキ！ＬＬ,-350,2405,19,9
471,2472,沖ドキ！ＬＬ,2266,4304,46,14
472,2473,沖ドキ！ＬＬ,-87,1820,15,6
473,2474,沖ドキ！ＬＬ,-2550,2257,7,9
474,2475,沖ドキ！ＬＬ,-1057,2754,20,7
475,2476,沖ドキ！ＬＬ,-3997,2526,6,2
476,2477,沖ドキ！ＬＬ,321,2673,26,5
477,2478,沖ドキ！ＬＬ,0,0,0,0
478,2479,沖ドキ！ＬＬ,226,3864,32,17
479,2480,押忍！サラリーマン番長Ａ９,-4177,6644,22,6
480,2481,押忍！サラリーマン番長Ａ９,59,3689,19,5
481,2482,押忍！サラリーマン番長Ａ９,-1157,4191,11,8
482,2483,押忍！サラリーマン番長Ａ９,-2508,3308,8,3
483,2484,押忍！サラリーマン番長Ａ９,-1927,3050,13,2
484,2485,押忍！番長３／Ａ５,-1731,5112,41,6
485,2486,押忍！番長３／Ａ５,-646,958,4,0
486,2487,押忍！番長３／Ａ５,-1823,1561,1,0
487,2488,押忍！番長３／Ａ５,2756,1812,45,9
488,2489,押忍！番長３／Ａ５,8610,4232,141,22
489,2490,押忍！番長３／Ａ５,6666,6342,0,15
490,2491,押忍！番長３／Ａ５,-1899,2526,11,1
491,2492,押忍！番長３／Ａ５,-1099,968,2,0
492,2493,押忍！番長３／Ａ５,2994,3017,56,9
493,2494,押忍！番長３／Ａ５,-1239,2430,19,1
494,2495,押忍！番長３／Ａ５,-2110,2270,7,1
495,2496,押忍！番長３／Ａ５,767,2831,38,7
496,2497,押忍！番長３／Ａ５,-1110,1215,3,0
497,2498,押忍！番長３／Ａ５,5860,4711,104,13
498,2499,押忍！番長３／Ａ５,-56,1790,22,1
499,2500,押忍！番長３／Ａ５,-1921,4624,28,3
500,2501,押忍！番長３／Ａ５,-1069,1027,1,0
501,2502,押忍！番長３／Ａ５,-1438,2054,12,0
502,2503,押忍！番長３／Ａ５,-2652,4498,31,2
503,2504,押忍！番長３／Ａ５,-1839,3978,26,4
504,2505,押忍！番長３／Ａ５,655,1046,16,3
505,2506,Ｓアメリカン番長　ＨＥＹ！鏡Ｂ２,1256,5603,39,16
506,2507,Ｓアメリカン番長　ＨＥＹ！鏡Ｂ２,0,0,0,0
507,2508,Ｓアメリカン番長　ＨＥＹ！鏡Ｂ２,0,0,0,0
508,2509,Ｓアメリカン番長　ＨＥＹ！鏡Ｂ２,0,0,0,0
509,2510,押忍！番長３／Ａ５,0,0,0,0
510,2511,押忍！番長３／Ａ５,0,0,0,0
511,2512,押忍！番長３／Ａ５,2,730,6,3
512,2513,押忍！番長３／Ａ５,-1002,3905,20,3
513,2514,押忍！番長３／Ａ５,1858,5290,71,7
514,2515,押忍！番長３／Ａ５,-1067,2444,0,1
515,2516,押忍！番長３／Ａ５,-850,2726,21,1
516,2517,押忍！番長３／Ａ５,1475,6171,80,10
517,2518,押忍！番長３／Ａ５,-1327,1419,1,0
518,2519,押忍！番長３／Ａ５,1326,2490,34,10
519,2520,押忍！番長３／Ａ５,-1144,4208,3,3
520,2521,押忍！番長３／Ａ５,2995,815,35,7
521,2522,押忍！サラリーマン番長Ａ９,3287,5675,21,0
522,2523,押忍！サラリーマン番長Ａ９,-2062,2907,8,2
523,2524,押忍！サラリーマン番長Ａ９,1288,5157,20,8
524,2525,押忍！サラリーマン番長Ａ９,-2327,4971,13,6
525,2526,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-2109,4145,20,8
526,2527,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,3108,5295,37,17
527,2528,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,3,1182,5,2
528,2529,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-295,2329,8,6
529,2530,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-2113,2378,7,4
530,2531,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-1893,2897,10,4
531,2532,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-1507,1079,1,1
532,2533,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-1540,1200,2,1
533,2534,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-2788,5992,18,4
534,2535,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,65,1517,9,4
535,2536,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,617,1819,9,3
536,2537,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-1867,3098,12,3
537,2538,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-975,2657,14,5
538,2539,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,2453,1495,13,4
539,2540,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-572,5853,33,18
540,2541,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,1375,1033,11,3
541,2542,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,-48,2604,11,8
542,2543,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,0,0,0,0
543,2544,ＳＬＯＴ魔法少女まどか☆マギカ２／ＭＭ,2842,4950,38,17
544,2545,Ｓ／叛逆の物語／ＦＨ,-838,3926,20,8
545,2546,Ｓ／叛逆の物語／ＦＨ,89,1693,12,3
546,2547,Ｓ／叛逆の物語／ＦＨ,-1123,1158,4,0
547,2548,Ｓ／叛逆の物語／ＦＨ,-546,1151,4,2
548,2549,Ｓ／叛逆の物語／ＦＨ,528,862,5,3
549,2550,Ｓ／叛逆の物語／ＦＨ,-1813,7388,35,15
550,2551,Ｓ／叛逆の物語／ＦＨ,567,4658,18,9
551,2552,Ｓ／叛逆の物語／ＦＨ,-804,4035,17,6
552,2553,Ｓ／叛逆の物語／ＦＨ,-1254,1385,3,0
553,2554,Ｓ／叛逆の物語／ＦＨ,590,3626,25,10
554,2555,Ｓ／叛逆の物語／ＦＨ,186,5898,27,1
555,2556,Ｓ／叛逆の物語／ＦＨ,-1468,2502,7,3
556,2557,Ｓ／叛逆の物語／ＦＨ,-893,1326,4,0
557,2558,Ｓ／叛逆の物語／ＦＨ,-1791,6671,23,11
558,2559,Ｓ／叛逆の物語／ＦＨ,2432,5122,38,15
559,2560,Ｓ／叛逆の物語／ＦＨ,3419,6939,47,16
