,number,model_name,slump,allStarts,bb,rb
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,-315,1207,7,1
82,2083,パチスロゴッドイーターＣＣ,308,4791,47,13
83,2084,パチスロゴッドイーターＣＣ,-1209,967,2,2
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,-2020,2079,1,8
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,2965,1749,20,0
86,2087,麻雀物語３役満乱舞の究極大戦Ｇ１,3902,3107,40,9
87,2088,シンデレラ×ブレイド２ＮＤ,-769,2866,26,0
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,-3004,3978,6,0
89,2090,やじきた道中記乙ＭＤ,-504,735,2,1
90,2091,やじきた道中記乙ＭＤ,-242,134,0,0
91,2092,やじきた道中記乙ＭＤ,1495,1145,8,5
92,2093,忍魂暁ノ章／Ａ２,-1050,4073,26,5
93,2094,モンキーターン２ＴＴ,3104,2077,32,0
94,2095,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,1243,967,20,1
95,2096,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-361,1012,3,3
96,2097,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-252,199,0,0
97,2098,パチスロ　修羅の刻Ａ,-4051,5340,21,0
98,2099,スーパービンゴネオＭ１,-3200,2361,9,4
99,2100,スーパービンゴネオＭ１,-1195,759,1,1
100,2101,スーパービンゴネオＭ１,12,554,8,1
101,2102,スーパービンゴネオＭ１,-355,660,6,2
102,2103,スーパービンゴネオＭ１,-637,522,3,1
103,2104,スーパービンゴネオＭ１,-4478,3454,14,9
104,2105,スーパービンゴネオＭ１,4720,1229,21,1
105,2106,アラジンＡⅡＺＳ,-2649,2186,8,6
106,2107,パチスロ鉄拳３ＥＥ,-1186,3156,38,43
107,2108,パチスロ鉄拳３ＥＥ,-1901,2089,11,14
108,2109,戦国コレクション２ＫＳ,1025,2771,36,0
109,2110,戦国コレクション２ＫＳ,-1716,1929,9,0
110,2111,パチスロ黄門ちゃま喝Ｄ１,-288,252,1,1
111,2112,パチスロ黄門ちゃま喝Ｄ１,-594,779,6,3
112,2113,パチスロ黄門ちゃま喝Ｄ１,-596,2140,14,10
113,2114,パチスロ黄門ちゃま喝Ｄ１,744,2639,31,5
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-309,3712,35,3
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,208,1462,15,3
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,-616,700,1,0
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,2209,5834,84,3
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1360,1247,1,0
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,-209,3304,30,1
120,2121,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-124,454,3,0
121,2122,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,0,0,0,0
122,2123,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-12,1492,6,3
123,2124,Ｓ闘魂継承アントニオ猪木Ｌ３,-764,768,0,1
124,2125,Ｓ闘魂継承アントニオ猪木Ｌ３,-10,22,0,0
125,2126,Ｓ闘魂継承アントニオ猪木Ｌ３,1330,619,16,1
126,2127,政宗２／Ａ５,-865,1829,7,6
127,2128,政宗２／Ａ５,-188,123,0,0
128,2129,政宗２／Ａ５,-1760,2859,10,4
129,2130,政宗２／Ａ５,-282,1588,12,4
130,2131,Ｓ天下布武４ＨＨ,-980,1626,6,0
131,2132,Ｓ天下布武４ＨＨ,1329,4592,30,28
132,2133,Ｓ天下布武４ＨＨ,-970,2047,8,4
133,2134,Ｓ天下布武４ＨＨ,-297,4387,25,16
134,2135,Ｓ天下布武４ＨＨ,-61,2355,11,11
135,2136,Ｓマジカルハロウィン７ＫＵ,-58,126,0,0
136,2137,Ｓマジカルハロウィン７ＫＵ,-86,125,0,0
137,2138,Ｓマジカルハロウィン７ＫＵ,1363,1019,7,15
138,2139,Ｓマジカルハロウィン７ＫＵ,169,824,6,6
139,2140,Ｓマジカルハロウィン７ＫＵ,-57,371,2,1
140,2141,Ｓルパン三世イタリアの夢Ｈ５,0,0,0,0
141,2142,Ｓルパン三世イタリアの夢Ｈ５,-591,995,0,2
142,2143,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,0,0,0,0
143,2144,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-54,1063,5,1
144,2145,パチスロ聖闘士星矢海皇覚醒ＫＨ,6901,1364,86,3
145,2146,パチスロ聖闘士星矢海皇覚醒ＫＨ,-108,520,5,1
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,774,1813,26,2
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,1160,1469,26,2
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1256,1558,5,1
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,-535,2414,22,1
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,-2482,2861,7,1
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1192,6231,28,27
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-396,1617,6,5
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1022,6534,32,31
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-596,741,1,0
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-211,1827,6,5
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,774,3527,15,13
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-2061,2439,5,1
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-578,980,3,3
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1394,4744,16,12
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2406,7781,109,11
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-40,32,0,0
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,282,810,11,1
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,252,870,7,1
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1656,3031,0,3
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1796,2608,48,4
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,3468,4323,82,6
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-536,4837,52,4
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-31,34,0,0
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,4483,8318,145,22
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-350,545,1,0
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-773,756,1,0
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,144,1040,12,1
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-862,2180,15,1
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-885,1006,2,0
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,617,545,11,1
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-222,2931,28,2
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-32,33,0,0
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,1180,1419,25,1
179,2180,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-587,808,0,0
180,2181,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1939,6358,35,32
181,2182,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,3689,1346,13,23
182,2183,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1013,2468,6,4
183,2184,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1760,2729,9,7
184,2185,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-997,1850,5,0
185,2186,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-143,965,2,6
186,2187,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2125,6054,32,32
187,2188,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,4197,9256,36,13
188,2189,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0
189,2190,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1541,1797,4,0
190,2191,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,19,2304,34,3
191,2192,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-520,1214,12,1
192,2193,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1004,1566,12,1
193,2194,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-602,4047,48,5
194,2195,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-3,1,0,0
195,2196,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1671,5681,110,8
196,2197,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,381,1823,34,3
197,2198,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,518,1434,24,2
198,2199,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-787,2019,14,1
199,2200,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-109,446,5,1
200,2201,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-553,1520,14,1
201,2202,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-41,24,0,0
202,2203,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,97,1386,0,2
203,2204,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1136,2543,37,2
204,2205,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-396,1450,16,0
205,2206,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-348,588,2,0
206,2207,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1123,7601,91,8
207,2208,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,522,2424,40,3
208,2209,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-737,1990,14,1
209,2210,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-177,948,11,1
210,2211,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-168,1969,26,2
211,2212,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1811,1308,43,2
212,2213,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,179,2301,29,0
213,2214,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-346,869,9,1
214,2215,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,138,763,12,1
215,2216,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-970,2953,28,2
216,2217,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-751,1218,11,1
217,2218,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,222,255,5,0
218,2219,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1042,2069,12,1
219,2220,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-20,485,7,1
220,2221,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,318,2521,39,4
221,2222,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-999,2733,29,3
222,2223,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-2454,3105,19,1
223,2224,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,0,0,0,0
224,2225,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,3882,8373,155,11
225,2226,マイジャグラーⅣ／ＫＥ,3955,7915,41,24
226,2227,マイジャグラーⅣ／ＫＥ,730,7050,29,27
227,2228,マイジャグラーⅣ／ＫＥ,-80,2720,11,4
228,2229,マイジャグラーⅣ／ＫＥ,1332,8729,37,24
229,2230,マイジャグラーⅣ／ＫＥ,-696,7915,29,12
230,2231,マイジャグラーⅣ／ＫＥ,3963,8793,44,34
231,2232,マイジャグラーⅣ／ＫＥ,4804,9673,49,32
232,2233,マイジャグラーⅣ／ＫＥ,81,912,4,0
233,2234,マイジャグラーⅣ／ＫＥ,-1324,7515,25,21
234,2235,マイジャグラーⅣ／ＫＥ,779,6082,27,11
235,2236,マイジャグラーⅣ／ＫＥ,-223,534,2,0
236,2237,マイジャグラーⅣ／ＫＥ,-1289,9124,31,21
