,number,model_name,slump,allStarts
0,2001,忍魂暁ノ章／Ａ２,-1912,4654
1,2002,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-87,1684
2,2003,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,93,1303
3,2004,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1121,1270
4,2005,麻雀格闘倶楽部２／ＫＡ,-596,657
5,2006,麻雀物語３役満乱舞の究極大戦Ｇ１,2446,3829
6,2007,Ｓ麻雀格闘倶楽部３ＫＲ,-673,866
7,2008,Ｓ麻雀格闘倶楽部３ＫＲ,772,1808
8,2009,攻殻機動隊２／ＺＳ,996,3031
9,2010,地獄少女　宵伽ＦＳＢ,191,1173
10,2011,ハイスクールオブザデッド／ＣＣ,-1595,2254
11,2012,織田信奈の野望Ｓ,-830,1382
12,2013,ブラックラグーンリミットブレイクＴ,-781,1177
13,2014,パチスロ閃乱カグラ／ＪＸ,337,4033
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-735,6916
15,2016,Ｓ　あのはな　ＺＭ,-149,1649
16,2017,結城友奈は勇者である／ＤＥ,-1369,2369
17,2018,回胴性ミリオンアーサーＢＮ,-1365,2679
18,2019,これはゾンビですか／ＫＡ,637,2075
19,2020,マジカルハロウィン５／ＫＡ,-1360,4326
20,2021,マジカルハロウィン５／ＫＡ,646,6249
21,2022,マジカルハロウィン５／ＫＡ,-1616,2611
22,2023,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1216,2509
23,2024,Ｓマジカルハロウィン７ＫＵ,-1394,2681
24,2025,Ｓマジカルハロウィン７ＫＵ,-350,709
25,2026,Ｓマジカルハロウィン７ＫＵ,-765,3493
26,2027,Ｓマジカルハロウィン７ＫＵ,1322,2314
27,2028,Ｓマジカルハロウィン７ＫＵ,-754,3086
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4443,7467
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1243,2896
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,589,4610
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1690,2633
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,2740,6895
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-2509,2241
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1725,6452
35,2036,Ｓルパン三世イタリアの夢Ｈ５,-103,3981
36,2037,Ｓルパン三世イタリアの夢Ｈ５,-989,1334
37,2038,Ｓルパン三世イタリアの夢Ｈ５,-383,6950
38,2039,Ｓルパン三世イタリアの夢Ｈ５,-724,788
39,2040,Ｓルパン三世イタリアの夢Ｈ５,2667,3259
40,2041,Ｓルパン三世イタリアの夢Ｈ５,-251,926
41,2042,Ｓルパン三世イタリアの夢Ｈ５,69,3143
42,2043,Ｓルパン三世イタリアの夢Ｈ５,-436,2013
43,2044,Ｓルパン三世イタリアの夢Ｈ５,301,1084
44,2045,ルパン三世世界解剖／Ｋ１,-482,530
45,2046,ＳＬＯＴギルティクラウンＵＣ,-1883,3506
46,2047,ＳＬＯＴギルティクラウンＵＣ,1971,7251
47,2048,ＳＬＯＴギルティクラウンＵＣ,-1931,4058
48,2049,ＳＬＯＴギルティクラウンＵＣ,3249,5049
49,2050,ＳＬＯＴギルティクラウンＵＣ,-1063,4501
50,2051,ＳＬＯＴギルティクラウンＵＣ,634,4644
51,2052,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,651,7554
52,2053,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,2581,6494
53,2054,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,2005,5179
54,2055,コードギアスＲ２Ｃ．Ｃ．／ＺＳ,2844,7358
