,number,model_name,slump,allStarts
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,2486,2337
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-754,569
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,-439,2699
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,-2285,1893
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,1967,2519
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,1393,2707
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-1434,1574
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,3177,341
8,2009,攻殻機動隊２／ＺＳ,-2738,2392
9,2010,地獄少女　宵伽ＦＳＢ,-1016,2536
10,2011,ハイスクールオブザデッド／ＣＣ,349,3184
11,2012,織田信奈の野望Ｓ,1154,402
12,2013,ブラックラグーンリミットブレイクＴ,-594,1224
13,2014,パチスロ閃乱カグラ／ＪＸ,1388,4657
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,268,1443
15,2016,ＳＬＯＴアカギ／ＤＡ,628,1296
16,2017,結城友奈は勇者である／ＤＥ,-158,106
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,1685,67
18,2019,パチスロ黒神／Ｋ２,-618,660
19,2020,Ｓ麻雀格闘倶楽部３ＫＲ,-798,877
20,2021,Ｓ麻雀格闘倶楽部３ＫＲ,-539,2078
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-212,3520
22,2023,ＳＬＯＴギルティクラウンＵＣ,-47,19
23,2024,ＳＬＯＴギルティクラウンＵＣ,-1183,2932
24,2025,ＳＬＯＴギルティクラウンＵＣ,-578,2169
25,2026,ＳＬＯＴギルティクラウンＵＣ,325,1502
26,2027,ＳＬＯＴギルティクラウンＵＣ,685,1983
27,2028,ＳＬＯＴギルティクラウンＵＣ,423,4921
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-349,4340
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,2084,7602
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,110,8633
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-951,3765
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,3356,9740
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1424,3158
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,1564,8717
35,2036,麻雀物語３役満乱舞の究極大戦Ｇ１,-1295,2957
36,2037,シンデレラ×ブレイド２ＮＤ,-1848,1349
