,number,model_name,slump,allStarts,bb,rb,judge
0,2001,ミリオンゴッド－神々の凱旋－ＢＤ,-854,1919,11,0,lose
1,2002,ミリオンゴッド－神々の凱旋－ＢＤ,-2234,1238,1,0,lose
2,2003,ミリオンゴッド－神々の凱旋－ＢＤ,3389,3569,33,0,win
3,2004,ミリオンゴッド－神々の凱旋－ＢＤ,1684,1511,15,0,win
4,2005,ミリオンゴッド－神々の凱旋－ＢＤ,2408,2509,24,0,win
5,2006,ミリオンゴッド－神々の凱旋－ＢＤ,-1663,1147,2,0,lose
6,2007,ミリオンゴッド－神々の凱旋－ＢＤ,-12,1184,9,0,lose
7,2008,ミリオンゴッド－神々の凱旋－ＢＤ,-674,2585,15,1,lose
8,2009,ＳスカイガールズＫＫ,-1803,2681,6,4,lose
9,2010,地獄少女　宵伽ＦＳＢ,778,4293,56,0,win
10,2011,ハイスクールオブザデッド／ＣＣ,-154,1004,3,0,lose
11,2012,織田信奈の野望Ｓ,-2129,2225,2,17,lose
12,2013,ブラックラグーンリミットブレイクＴ,-1519,7103,28,17,lose
13,2014,パチスロ閃乱カグラ／ＪＸ,-120,4166,10,7,lose
14,2015,ツインエンジェルＢＲＥＡＫ／ＺＳ,-2367,2283,8,1,lose
15,2016,Ｓパチスロラブ嬢２Ｌ２,-1281,1883,0,3,lose
16,2017,Ｓパチスロラブ嬢２Ｌ２,1361,5900,0,12,win
17,2018,Ｓガールズ＆パンツァーＧ／ＬＡ１,-752,989,0,3,lose
18,2019,コードギアス反逆のルルーシュＲ２／ＺＸ,-612,4791,21,23,lose
19,2020,麻雀格闘倶楽部２／ＫＡ,-1500,3062,0,0,lose
20,2021,Ｓ蒼穹のファフナー　ＥＸＯＤＵＳ　ｂＡ,-4,4052,0,15,lose
21,2022,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-298,2360,7,0,lose
22,2023,ＳＬＯＴギルティクラウンＵＣ,-205,6429,26,39,lose
23,2024,ＳＬＯＴギルティクラウンＵＣ,6039,6330,24,83,win
24,2025,ＳＬＯＴギルティクラウンＵＣ,-2286,2454,7,5,lose
25,2026,ＳＬＯＴギルティクラウンＵＣ,-750,5991,22,39,lose
26,2027,ＳＬＯＴギルティクラウンＵＣ,-1508,2197,5,10,lose
27,2028,ＳＬＯＴギルティクラウンＵＣ,-2277,2812,10,2,lose
28,2029,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1530,3392,0,0,lose
29,2030,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-983,5964,0,0,lose
30,2031,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-675,3250,0,0,lose
31,2032,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,895,4535,0,0,win
32,2033,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,4032,8882,0,0,win
33,2034,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-1989,2012,0,0,lose
34,2035,戦国乙女剣戟に舞う白き剣聖西国参戦編Ｌ２,-629,4596,0,0,lose
35,2036,戦国乙女２深淵に輝く気高き将星／Ｄ２,-895,1777,5,2,lose
36,2037,戦国乙女２深淵に輝く気高き将星／Ｄ２,-803,2584,13,7,lose
37,2038,戦国乙女２深淵に輝く気高き将星／Ｄ２,10,3373,25,10,win
38,2039,戦国乙女２深淵に輝く気高き将星／Ｄ２,1350,1375,17,0,win
39,2040,番長外伝　盗忍！剛衛門／Ａ８,0,0,0,0,lose
40,2041,番長外伝　盗忍！剛衛門／Ａ８,0,0,0,0,lose
41,2042,番長外伝　盗忍！剛衛門／Ａ８,0,0,0,0,lose
42,2043,マジカルハロウィン５／ＫＡ,-2655,6756,39,0,lose
43,2044,マジカルハロウィン５／ＫＡ,-3090,3316,14,0,lose
44,2045,マジカルハロウィン５／ＫＡ,-529,7816,42,0,lose
45,2046,パチスロ笑ゥせぇるすまん３ＫＪ,1541,3390,48,15,win
46,2047,パチスロ笑ゥせぇるすまん３ＫＪ,2312,555,30,4,win
47,2048,パチスロ笑ゥせぇるすまん３ＫＪ,-1037,3156,22,11,lose
48,2049,パチスロ笑ゥせぇるすまん３ＫＪ,885,2042,32,5,win
49,2050,パチスロ笑ゥせぇるすまん３ＫＪ,-1027,1735,6,4,lose
50,2051,パチスロ笑ゥせぇるすまん３ＫＪ,-1565,3670,26,10,lose
51,2052,パチスロガールフレンド（仮）／Ｇ４,535,3113,29,13,win
52,2053,パチスロガールフレンド（仮）／Ｇ４,-72,5008,40,23,lose
53,2054,パチスロガールフレンド（仮）／Ｇ４,974,2568,29,16,win
54,2055,パチスロガールフレンド（仮）／Ｇ４,-2317,2795,6,6,lose
55,2056,パチスロガールフレンド（仮）／Ｇ４,-1145,3808,24,14,lose
56,2057,パチスロガールフレンド（仮）／Ｇ４,-516,2899,26,16,lose
57,2058,ヱヴァンゲリヲン・勝利への願いＳ,123,4503,51,34,win
58,2059,ＳＬＯＴバジリスクⅢＢＥ,-1442,2471,19,2,lose
59,2060,ＳＬＯＴアカギ／ＤＡ,56,1018,3,17,win
60,2061,ＳＬＯＴアカギ／ＤＡ,-203,123,0,0,lose
61,2062,モンスターハンター狂竜戦線／ＺＳ,-533,4129,48,63,lose
62,2063,パチスロウルトラセブンＫＣ,4917,3702,76,2,win
63,2064,バイオハザードリベレーションズ／ＺＷ,-750,2248,14,0,lose
64,2065,バイオハザードリベレーションズ／ＺＷ,0,0,0,0,lose
65,2066,Ｓリング　恐襲ノ連鎖　ＪＡ,-415,2087,6,6,lose
66,2067,パチスロ亜人／Ａ３,0,0,0,0,lose
67,2068,結城友奈は勇者である／ＤＥ,2595,3069,25,9,win
68,2069,パチスロ北斗の拳　修羅の国／ＲＦ,-1365,2026,8,7,lose
69,2070,パチスロ北斗の拳　修羅の国／ＲＦ,-2268,2977,9,4,lose
70,2071,パチスロ北斗の拳　修羅の国／ＲＦ,-1503,1363,1,1,lose
71,2072,パチスロ北斗の拳　修羅の国／ＲＦ,-2312,2524,10,7,lose
72,2073,パチスロ北斗の拳　修羅の国／ＲＦ,4635,4270,85,24,win
73,2074,Ｇ１優駿倶楽部／ＫＤ,-1497,1411,2,0,lose
74,2075,Ｇ１優駿倶楽部／ＫＤ,-1611,2658,10,0,lose
75,2076,Ｇ１優駿倶楽部／ＫＤ,963,2111,26,0,win
76,2077,Ｇ１優駿倶楽部／ＫＤ,-954,832,3,0,lose
77,2078,Ｇ１優駿倶楽部／ＫＤ,5109,3787,55,0,win
78,2079,ミリオンゴッド－神々の凱旋－ＢＤ,495,420,5,1,win
