,number,model_name,slump,allStarts,bb,rb,judge
79,2080,ミリオンゴッド－神々の凱旋－ＢＤ,-1224,933,2,0,lose
80,2081,ミリオンゴッド－神々の凱旋－ＢＤ,6684,2293,39,0,win
81,2082,ミリオンゴッド－神々の凱旋－ＢＤ,-795,808,3,0,lose
82,2083,パチスロゴッドイーターＣＣ,-1236,4177,40,17,lose
83,2084,パチスロゴッドイーターＣＣ,-2272,3041,21,8,lose
84,2085,パチスロリング　ノロイノナノカカンＦＳＢ,-1510,2211,5,8,lose
85,2086,パチスロリング　ノロイノナノカカンＦＳＢ,-830,3976,9,0,lose
86,2087,麻雀物語３役満乱舞の究極大戦Ｇ１,-4671,5858,13,6,lose
87,2088,シンデレラ×ブレイド２ＮＤ,1128,2854,41,0,win
88,2089,サラリーマン金太郎　出世回胴編ＸＦ,2595,3497,10,0,win
89,2090,やじきた道中記乙ＭＤ,718,2435,9,7,win
90,2091,やじきた道中記乙ＭＤ,1177,2356,18,8,win
91,2092,やじきた道中記乙ＭＤ,-625,1714,6,5,lose
92,2093,忍魂暁ノ章／Ａ２,1130,5695,29,18,win
93,2094,モンキーターン２ＴＴ,-4090,3825,40,0,lose
94,2095,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-891,1287,6,1,lose
95,2096,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1365,2410,8,6,lose
96,2097,秘宝伝　ＴｈｅＬａｓｔ／Ａ３,-1519,2902,7,6,lose
97,2098,パチスロ　修羅の刻Ａ,-473,6140,39,0,lose
98,2099,スーパービンゴネオＭ１,-2799,2815,20,7,lose
99,2100,スーパービンゴネオＭ１,-3606,2613,10,5,lose
100,2101,スーパービンゴネオＭ１,-563,382,1,1,lose
101,2102,スーパービンゴネオＭ１,6022,2218,33,7,win
102,2103,スーパービンゴネオＭ１,-6188,5054,20,9,lose
103,2104,スーパービンゴネオＭ１,-1561,924,1,1,lose
104,2105,スーパービンゴネオＭ１,-1663,2240,9,5,lose
105,2106,アラジンＡⅡＺＳ,-2512,2814,18,16,lose
106,2107,パチスロ鉄拳３ＥＥ,6188,925,76,70,win
107,2108,パチスロ黄門ちゃま喝Ｄ１,-241,1179,8,4,lose
108,2109,パチスロ黄門ちゃま喝Ｄ１,9651,3190,80,25,win
109,2110,パチスロ黄門ちゃま喝Ｄ１,-3058,4174,17,12,lose
110,2111,パチスロ黄門ちゃま喝Ｄ１,99,1750,12,6,win
111,2112,Ｓパチスロ青鬼ｖｅｒ１．０００Ｌ４,0,0,0,0,lose
112,2113,Ｓパチスロ青鬼ｖｅｒ１．０００Ｌ４,0,0,0,0,lose
113,2114,Ｓパチスロ青鬼ｖｅｒ１．０００Ｌ４,0,0,0,0,lose
114,2115,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1176,1152,1,0,lose
115,2116,パチスロ聖闘士星矢海皇覚醒ＫＨ,-569,1876,14,1,lose
116,2117,パチスロ聖闘士星矢海皇覚醒ＫＨ,473,2912,31,2,win
117,2118,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1944,3826,18,2,lose
118,2119,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1640,3375,18,2,lose
119,2120,パチスロ聖闘士星矢海皇覚醒ＫＨ,-3822,4584,8,0,lose
120,2121,Ｓ天下布武４ＨＨ,-59,2806,15,13,lose
121,2122,Ｓ天下布武４ＨＨ,-359,2872,16,8,lose
122,2123,Ｓ天下布武４ＨＨ,-917,6454,36,16,lose
123,2124,Ｓ天下布武４ＨＨ,-974,2105,9,1,lose
124,2125,Ｓ天下布武４ＨＨ,-1158,1870,8,0,lose
125,2126,政宗２／Ａ５,0,0,0,0,lose
126,2127,政宗２／Ａ５,-540,1933,13,3,lose
127,2128,政宗２／Ａ５,-903,1111,0,3,lose
128,2129,政宗２／Ａ５,-1152,2114,8,6,lose
129,2130,政宗２／Ａ５,4734,6310,73,9,win
130,2131,獣王　王者の覚醒／ＺＡ,12910,7819,39,76,win
131,2132,戦国コレクション２ＫＳ,251,4580,39,0,win
132,2133,戦国コレクション２ＫＳ,-590,2283,16,0,lose
133,2134,Ｓマジカルハロウィン７ＫＵ,-428,1710,5,4,lose
134,2135,Ｓマジカルハロウィン７ＫＵ,3384,5122,29,58,win
135,2136,Ｓマジカルハロウィン７ＫＵ,-751,1190,3,0,lose
136,2137,Ｓマジカルハロウィン７ＫＵ,519,905,4,8,win
137,2138,Ｓ闘魂継承アントニオ猪木Ｌ３,-406,765,3,2,lose
138,2139,Ｓ闘魂継承アントニオ猪木Ｌ３,134,2487,18,3,win
139,2140,Ｓ闘魂継承アントニオ猪木Ｌ３,-458,836,2,1,lose
140,2141,Ｓルパン三世イタリアの夢Ｈ５,-3,1,0,0,lose
141,2142,Ｓルパン三世イタリアの夢Ｈ５,-133,866,2,4,lose
142,2143,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-310,8255,43,11,lose
143,2144,Ｓサラリーマン金太郎～ＭＡＸ～Ｘ２,-198,610,2,1,lose
144,2145,パチスロ聖闘士星矢海皇覚醒ＫＨ,-1926,3290,14,1,lose
145,2146,パチスロ聖闘士星矢海皇覚醒ＫＨ,1008,4469,52,5,win
146,2147,パチスロ聖闘士星矢海皇覚醒ＫＨ,-568,2571,18,1,lose
147,2148,パチスロ聖闘士星矢海皇覚醒ＫＨ,-188,1712,16,2,lose
148,2149,パチスロ聖闘士星矢海皇覚醒ＫＨ,2518,2345,44,5,win
149,2150,パチスロ聖闘士星矢海皇覚醒ＫＨ,1717,315,21,2,win
150,2151,パチスロ聖闘士星矢海皇覚醒ＫＨ,2697,4780,76,8,win
151,2152,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,295,3509,16,12,win
152,2153,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-753,6225,24,26,lose
153,2154,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1680,2945,8,3,lose
154,2155,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-276,1463,6,4,lose
155,2156,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,4006,4342,28,40,win
156,2157,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,6634,4613,26,44,win
157,2158,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1303,2337,6,1,lose
158,2159,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-353,5186,21,15,lose
159,2160,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-749,2497,8,3,lose
160,2161,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1869,2609,8,1,lose
161,2162,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,479,7080,87,11,win
162,2163,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,4521,8209,138,16,win
163,2164,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1691,2757,0,2,lose
164,2165,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-2290,4635,0,2,lose
165,2166,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,3068,6535,100,6,win
166,2167,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1507,2616,14,1,lose
167,2168,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,2034,3968,64,4,win
168,2169,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,3137,7732,118,13,win
169,2170,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1612,3058,16,1,lose
170,2171,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,993,4629,58,5,win
171,2172,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-556,2241,19,2,lose
172,2173,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-1612,7116,64,8,lose
173,2174,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,749,1797,27,2,win
174,2175,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-833,1002,2,0,lose
175,2176,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-114,1776,19,1,lose
176,2177,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,8522,6763,157,10,win
177,2178,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-851,9304,15,8,lose
178,2179,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,159,1120,12,1,win
179,2180,Ｓ　Ｒｅ：ゼロから始める異世界生活Ａ６,-763,2560,0,1,lose
180,2181,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-1167,2421,6,3,lose
181,2182,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-831,879,1,0,lose
182,2183,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,1790,6020,30,22,win
183,2184,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2016,4784,25,34,win
184,2185,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,-756,2968,9,0,lose
185,2186,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,97,3728,15,9,win
186,2187,Ｓ　エウレカセブン３　ＨＩＥＶＯ　ＺＲ,2087,5588,31,32,win
187,2188,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-218,1147,3,1,lose
188,2189,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-6,4,0,0,lose
189,2190,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-696,3459,36,2,lose
190,2191,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1730,1958,46,2,win
191,2192,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,418,4213,65,5,win
192,2193,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-376,7486,95,9,lose
193,2194,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1556,2873,48,4,win
194,2195,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1032,3125,26,2,lose
195,2196,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-697,889,2,0,lose
196,2197,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1700,2520,17,1,lose
197,2198,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-396,2352,26,2,lose
198,2199,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,2973,5776,118,10,win
199,2200,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-634,4804,63,6,lose
200,2201,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-460,702,2,0,lose
201,2202,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1544,6530,118,11,win
202,2203,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,2344,8898,0,12,win
203,2204,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,888,1512,30,2,win
204,2205,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,157,5024,71,0,win
205,2206,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-237,1312,12,1,lose
206,2207,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-451,1770,17,1,lose
207,2208,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1130,1584,4,0,lose
208,2209,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-1594,1790,4,0,lose
209,2210,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-800,3498,43,3,lose
210,2211,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-454,675,2,0,lose
211,2212,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-570,2156,28,2,lose
212,2213,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1972,7419,132,0,win
213,2214,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-471,1369,13,1,lose
214,2215,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1220,3840,63,4,win
215,2216,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,144,2062,33,2,win
216,2217,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-867,1003,0,0,lose
217,2218,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-712,681,2,0,lose
218,2219,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,65,3479,53,4,win
219,2220,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,7,2482,40,4,win
220,2221,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,4877,6411,158,10,win
221,2222,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1789,5855,110,8,win
222,2223,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,1599,6449,123,11,win
223,2224,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,431,4712,73,6,win
224,2225,Ｓパチスロ北斗の拳ＡＢ　ＸＲ,-778,6420,69,5,lose
225,2226,マイジャグラーⅣ／ＫＥ,-1495,4242,12,8,lose
226,2227,マイジャグラーⅣ／ＫＥ,2370,6824,32,14,win
227,2228,マイジャグラーⅣ／ＫＥ,-942,1051,2,0,lose
228,2229,マイジャグラーⅣ／ＫＥ,2448,6365,30,18,win
229,2230,マイジャグラーⅣ／ＫＥ,-810,2210,7,2,lose
230,2231,マイジャグラーⅣ／ＫＥ,1165,5518,23,17,win
231,2232,マイジャグラーⅣ／ＫＥ,-863,2560,6,7,lose
232,2233,マイジャグラーⅣ／ＫＥ,3222,8937,37,39,win
233,2234,マイジャグラーⅣ／ＫＥ,-323,3340,12,5,lose
234,2235,マイジャグラーⅣ／ＫＥ,631,4765,21,8,win
235,2236,マイジャグラーⅣ／ＫＥ,-1619,5581,16,16,lose
236,2237,マイジャグラーⅣ／ＫＥ,1112,4230,19,12,win
237,2238,マイジャグラーⅣ／ＫＥ,-1168,5404,17,14,lose
238,2239,マイジャグラーⅣ／ＫＥ,-634,2383,7,6,lose
239,2240,マイジャグラーⅣ／ＫＥ,-1590,7122,22,18,lose
240,2241,マイジャグラーⅣ／ＫＥ,490,8571,29,33,win
241,2242,マイジャグラーⅣ／ＫＥ,-198,4283,13,16,lose
242,2243,マイジャグラーⅣ／ＫＥ,1559,7258,29,26,win
243,2244,マイジャグラーⅣ／ＫＥ,-1226,5270,14,20,lose
244,2245,マイジャグラーⅣ／ＫＥ,1747,7688,33,23,win
245,2246,マイジャグラーⅣ／ＫＥ,2315,7160,31,28,win
246,2247,マイジャグラーⅣ／ＫＥ,941,5872,21,29,win
247,2248,マイジャグラーⅣ／ＫＥ,2317,6520,33,17,win
248,2249,マイジャグラーⅣ／ＫＥ,1348,7437,27,32,win
249,2250,マイジャグラーⅣ／ＫＥ,1993,7723,35,21,win
250,2251,マイジャグラーⅣ／ＫＥ,2785,7279,36,20,win
251,2252,マイジャグラーⅣ／ＫＥ,-61,6807,21,27,lose
252,2253,マイジャグラーⅣ／ＫＥ,573,8133,28,32,win
253,2254,マイジャグラーⅣ／ＫＥ,-560,1800,5,2,lose
254,2255,マイジャグラーⅣ／ＫＥ,-343,4808,18,9,lose
255,2256,マイジャグラーⅣ／ＫＥ,-112,8183,28,26,lose
256,2257,マイジャグラーⅣ／ＫＥ,-432,1728,6,2,lose
257,2258,マイジャグラーⅣ／ＫＥ,3515,8507,37,41,win
258,2259,マイジャグラーⅣ／ＫＥ,736,7236,28,25,win
259,2260,マイジャグラーⅣ／ＫＥ,-1359,4693,11,17,lose
260,2261,マイジャグラーⅣ／ＫＥ,674,7041,28,19,win
261,2262,マイジャグラーⅣ／ＫＥ,-735,4748,14,16,lose
262,2263,マイジャグラー３ＫＤ,2693,7458,28,41,win
263,2264,マイジャグラー３ＫＤ,-13,4389,16,13,lose
264,2265,マイジャグラー３ＫＤ,-862,3662,12,9,lose
265,2266,マイジャグラー３ＫＤ,2284,5670,28,0,win
266,2267,マイジャグラー３ＫＤ,-1528,2453,5,0,lose
267,2268,マイジャグラー３ＫＤ,-1464,1026,0,1,lose
268,2269,マイジャグラー３ＫＤ,1399,7313,28,29,win
269,2270,ゴーゴージャグラー２／ＫＤ,2809,7274,37,20,win
270,2271,ゴーゴージャグラー２／ＫＤ,-702,5212,15,21,lose
271,2272,ゴーゴージャグラー２／ＫＤ,-505,337,0,0,lose
272,2273,ゴーゴージャグラー２／ＫＤ,4314,7278,39,26,win
273,2274,ゴーゴージャグラーＫＫ,-568,3238,12,6,lose
274,2275,ゴーゴージャグラーＫＫ,-867,2729,7,9,lose
275,2276,ゴーゴージャグラーＫＫ,-1471,5317,17,14,lose
276,2277,ゴーゴージャグラーＫＫ,-2000,3659,8,9,lose
277,2278,ゴーゴージャグラーＫＫ,-537,3428,12,9,lose
278,2279,ゴーゴージャグラーＫＫ,-903,1924,5,4,lose
279,2280,ゴーゴージャグラーＫＫ,1168,7871,34,25,win
280,2281,ゴーゴージャグラーＫＫ,-1711,1862,1,7,lose
281,2282,ゴーゴージャグラーＫＫ,-144,5950,23,17,lose
282,2283,ゴーゴージャグラーＫＫ,-138,8805,26,44,lose
283,2284,ゴーゴージャグラーＫＫ,-713,438,0,0,lose
284,2285,ゴーゴージャグラーＫＫ,1590,7983,33,28,win
285,2286,ゴーゴージャグラーＫＫ,-431,776,2,1,lose
286,2287,ゴーゴージャグラーＫＫ,4685,7816,45,23,win
287,2288,ゴーゴージャグラーＫＫ,524,5933,25,18,win
288,2289,ゴーゴージャグラーＫＫ,-557,1743,6,2,lose
289,2290,ゴーゴージャグラー２／ＫＤ,-184,4080,17,7,lose
290,2291,ゴーゴージャグラー２／ＫＤ,-791,6278,21,21,lose
291,2292,ゴーゴージャグラー２／ＫＤ,-872,7713,24,31,lose
292,2293,ゴーゴージャグラー２／ＫＤ,260,7291,25,28,win
293,2294,ゴーゴージャグラー２／ＫＤ,1557,2667,15,9,win
294,2295,マイジャグラー３ＫＤ,325,4132,16,10,win
295,2296,マイジャグラー３ＫＤ,2281,8409,35,29,win
296,2297,マイジャグラー３ＫＤ,-1666,3409,5,15,lose
297,2298,マイジャグラー３ＫＤ,267,2830,11,9,win
298,2299,マイジャグラー３ＫＤ,-1687,4293,8,18,lose
299,2300,マイジャグラーⅣ／ＫＥ,-380,4015,14,8,lose
300,2301,マイジャグラーⅣ／ＫＥ,-1865,6467,18,19,lose
301,2302,スーパーミラクルジャグラー／ＫＵ,-539,7914,26,24,lose
302,2303,スーパーミラクルジャグラー／ＫＵ,-252,7755,29,20,lose
303,2304,スーパーミラクルジャグラー／ＫＵ,-473,1271,3,4,lose
304,2305,スーパーミラクルジャグラー／ＫＵ,-419,4550,16,10,lose
305,2306,スーパーミラクルジャグラー／ＫＵ,-1407,3737,10,7,lose
306,2307,アイムジャグラーＥＸアニバーサリー／ＫＫ,-903,4096,12,10,lose
307,2308,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-608,1636,5,2,lose
308,2309,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-536,5261,16,18,lose
309,2310,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-471,3821,14,7,lose
310,2311,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-622,1439,4,2,lose
311,2312,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1478,5048,22,21,win
312,2313,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1312,7775,31,29,win
313,2314,アイムジャグラーＥＸ－ＡＥ／ＫＴ,737,4163,16,17,win
314,2315,アイムジャグラーＥＸ－ＡＥ／ＫＴ,130,3805,16,3,win
315,2316,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-52,2689,9,10,lose
316,2317,アイムジャグラーＥＸ－ＡＥ／ＫＴ,682,6814,27,16,win
317,2318,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-484,2395,6,7,lose
318,2319,ゴーゴージャグラーＫＫ,-493,5513,17,23,lose
319,2320,ゴーゴージャグラーＫＫ,2048,6623,32,20,win
320,2321,ゴーゴージャグラーＫＫ,413,5723,22,21,win
321,2322,ゴーゴージャグラーＫＫ,-865,6029,18,24,lose
322,2323,ゴーゴージャグラーＫＫ,1277,7662,32,23,win
323,2324,ゴーゴージャグラーＫＫ,1745,2778,17,5,win
324,2325,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1429,5526,23,19,win
325,2326,アイムジャグラーＥＸ－ＡＥ／ＫＴ,244,5508,19,19,win
326,2327,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-715,1635,5,2,lose
327,2328,アイムジャグラーＥＸ－ＡＥ／ＫＴ,0,0,0,0,lose
328,2329,アイムジャグラーＥＸ－ＡＥ／ＫＴ,560,6276,24,19,win
329,2330,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-697,3885,13,9,lose
330,2331,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1774,6052,26,20,win
331,2332,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-735,839,1,2,lose
332,2333,アイムジャグラーＥＸ－ＡＥ／ＫＴ,1662,7095,28,26,win
333,2334,アイムジャグラーＥＸ－ＡＥ／ＫＴ,-140,6470,21,23,lose
334,2335,アイムジャグラーＥＸ－ＡＥ／ＫＴ,596,4659,18,16,win
335,2336,アイムジャグラーＥＸアニバーサリー／ＫＫ,697,5325,19,19,win
336,2337,スーパーミラクルジャグラー／ＫＵ,-549,3450,12,5,lose
